origin (2013 area unit name),destination,distance (kilometers),time (hours)
origin (2013 area unit name),destination,distance (kilometers),time (hours)
Abbotsford,Abbotsford,0.0,0.0
Abbotsford,Alexandra,166.403,3.0019444444444443
Abbotsford,Andersons Bay,13.439,1.4919444444444445
Abbotsford,Aramoana,,
Abbotsford,Ardgowan,113.332,2.7969444444444442
Abbotsford,Arrowtown,253.718,5.233055555555556
Abbotsford,Arthurs Point,244.684,4.526388888888889
Abbotsford,Aviemore,290.068,20.815
Abbotsford,Balclutha,70.612,1.1955555555555555
Abbotsford,Balmacewen,13.183,1.7230555555555556
Abbotsford,Belleknowes,12.008,1.188611111111111
Abbotsford,Benhar,74.717,1.2094444444444445
Abbotsford,Brighton,9.684,0.4633333333333333
Abbotsford,Broad Bay-Portobello,27.065,1.3605555555555555
Abbotsford,Brockville,14.595,2.0275
Abbotsford,Bruce,55.461,0.8858333333333334
Abbotsford,Bush Road,10.354,0.7913888888888889
Abbotsford,Caledonian,8.745,0.4766666666666667
Abbotsford,Cape Wanbrow,112.418,2.7883333333333336
Abbotsford,Caversham,6.448,0.40694444444444444
Abbotsford,Clinton,98.739,1.6008333333333333
Abbotsford,Clutha,115.769,1.8722222222222222
Abbotsford,Clyde,174.239,3.0425
Abbotsford,Company Bay,21.69,1.255
Abbotsford,Concord,4.044,0.3472222222222222
Abbotsford,Corstorphine East,6.769,0.5911111111111111
Abbotsford,Corstorphine West,5.998,0.4988888888888889
Abbotsford,Cromwell,195.005,3.381388888888889
Abbotsford,Dunstan,,
Abbotsford,Duntroon,,
Abbotsford,East Taieri,8.377,0.8333333333333334
Abbotsford,Evansdale,43.132,10.042777777777777
Abbotsford,Fairfield,3.719,0.39
Abbotsford,Fernhill,9.325,0.4836111111111111
Abbotsford,Forbury,8.208,0.5577777777777778
Abbotsford,Forrester Park,16.303,1.7180555555555554
Abbotsford,Frankton,233.368,4.204722222222222
Abbotsford,Frankton East,234.029,4.4511111111111115
Abbotsford,Glenleith,16.418,2.2883333333333336
Abbotsford,Glenorchy,,
