origin area unit,destination area unit,distance (kilometers),time (hours)
Adelaide,Paraparaumu Beach South,62.83,12.568
Adelaide,Paraparaumu Central,62.715,12.545
Adelaide,Paremata-Postgate,28.914,5.784
Adelaide,Parkway,23.215,4.643
Adelaide,Petone Central,15.534,3.107
Adelaide,Pinehaven,33.105,6.621
Adelaide,Plimmerton,43.884,8.778
Adelaide,Poets Block,34.908,6.982
Adelaide,Porirua Central,23.242,4.648
Adelaide,Porirua East,24.479,4.896
Adelaide,Pukerua Bay,46.31,9.264
Adelaide,Rangoon Heights,10.634,2.127
Adelaide,Ranui Heights,25.104,5.021
Adelaide,Raroa,11.415,2.283
Adelaide,Raumati Beach,59.871,11.976
Adelaide,Raumati South,57.926,11.587
Adelaide,Resolution,33.263,6.653
Adelaide,Roseneath,2.688,0.538
Adelaide,Seatoun,6.121,1.224
Adelaide,Seatoun Tunnel West,4.858,0.972
Adelaide,Solway North,146.012,29.202
Adelaide,Solway South,140.538,28.108
Adelaide,Strathmore Park,5.157,1.031
Adelaide,Taita North,25.51,5.102
Adelaide,Taita South,24.42,4.884
Adelaide,Taitville,4.75,0.95
Adelaide,Takapu,21.72,4.344
Adelaide,Tawa Central,19.398,3.88
Adelaide,Tawa South,18.024,3.605
Adelaide,Tawhai,29.322,5.864
Adelaide,Te Kainga,8.25,1.65
Adelaide,Te Marua,46.595,9.319
Adelaide,Thorndon-Tinakori Road,4.742,0.948
Adelaide,Tirohanga,20.223,4.045
Adelaide,Titahi Bay North,28.037,5.607
Adelaide,Titahi Bay South,27.187,5.437
Adelaide,Totara Park,39.003,7.801
Adelaide,Trentham North,34.19,6.838
Adelaide,Trentham South,33.659,6.732
Adelaide,Tuturumuri,124.416,24.883
Adelaide,Upper Hutt Central,36.345,7.269
Adelaide,Vogeltown,1.986,0.397
Adelaide,Vogeltown West,2.608,0.522
Adelaide,Wadestown,6.422,1.284
Adelaide,Waikanae Beach,69.531,13.908
Adelaide,Waikanae East,74.482,14.896
Adelaide,Waikanae Park,71.904,14.382
Adelaide,Waikanae West,72.369,14.475
Adelaide,Waingawa,130.568,26.114
Adelaide,Waitangirua,27.696,5.539
Adelaide,Waiwhetu North,20.587,4.117
Adelaide,Waiwhetu South,20.567,4.113
Adelaide,Wallaceville,35.703,7.141
Adelaide,Waterloo East,21.319,4.264
Adelaide,Waterloo West,19.701,3.94
Adelaide,Whareama,167.693,33.539
Adelaide,Wilford,17.084,3.417
Adelaide,Willis Street-Cambridge Terrace,2.391,0.478
Adelaide,Wilton,7.444,1.489
Adelaide,Woburn North,19.119,3.824
Adelaide,Woburn South,19.316,3.863
Adelaide,Woodridge,15.202,3.04
Adelaide,Woodville,249.25,49.85
Adventure,Adelaide,28.146,5.629
Adventure,Adventure,0.0,0.0
Adventure,Alicetown,31.268,6.254
Adventure,Arakura,40.73,8.146
Adventure,Aro Street-Nairn Street,26.573,5.315
Adventure,Ascot Park,2.449,0.49
Adventure,Avalon East,36.887,7.377
Adventure,Avalon West,36.881,7.376
Adventure,Awarua,21.67,4.334
Adventure,Belmont,41.174,8.235
Adventure,Berhampore East,29.557,5.911
Adventure,Berhampore West,29.477,5.895
Adventure,Boulcott,34.932,6.986
Adventure,Brentwood,48.169,9.634
Adventure,Brooklyn,28.362,5.672
Adventure,Brooklyn South,28.949,5.79
Adventure,Cannons Creek East,1.645,0.329
Adventure,Cannons Creek North,2.892,0.578
Adventure,Cannons Creek South,3.432,0.686
Adventure,Carterton,138.658,27.732
Adventure,Churton Park North,15.789,3.158
Adventure,Churton Park South,15.314,3.063
Adventure,Clouston Park,52.22,10.444
Adventure,Crofton Downs,25.497,5.099
Adventure,Dannevirke East,288.55,57.71
Adventure,Dannevirke West,287.85,57.57
Adventure,Delaney,44.314,8.863
Adventure,Discovery,3.164,0.633
Adventure,Eastbourne,38.698,7.74
Adventure,Ebdentown,51.381,10.276
Adventure,Eketahuna,213.822,42.764
Adventure,Elderslea,50.061,10.012
Adventure,Elsdon-Takapuwahia,12.406,2.481
Adventure,Emerald Hill,58.489,11.698
Adventure,Endeavour,5.076,1.015
Adventure,Epuni East,35.764,7.153
Adventure,Epuni West,34.789,6.958
Adventure,Esplanade,30.655,6.131
Adventure,Featherston,93.179,18.636
Adventure,Fernlea,38.253,7.651
Adventure,Glendale,40.718,8.144
Adventure,Glenside North,12.825,2.565
Adventure,Gracefield,32.837,6.567
Adventure,Greenacres,8.923,1.785
Adventure,Grenada North,13.01,2.602
Adventure,Grenada Village,15.642,3.128
Adventure,Greytown,114.601,22.92
Adventure,Happy Valley-Owhiro Bay,30.812,6.162
Adventure,Hataitai North,28.006,5.601
Adventure,Heretaunga,46.021,9.204
Adventure,Heretaunga-Silverstream,44.983,8.997
Adventure,Holborn,43.297,8.659
Adventure,Homedale East,40.122,8.024
Adventure,Homedale West,40.843,8.169
Adventure,Hutt Central,32.898,6.58
Adventure,Island Bay East,31.145,6.229
Adventure,Island Bay West,31.422,6.284
Adventure,Johnsonville Central,16.519,3.304
Adventure,Johnsonville East,16.52,3.304
Adventure,Johnsonville North,15.886,3.177
Adventure,Kahutara,110.932,22.186
Adventure,Kaitawa,89.6,17.92
Adventure,Kaiwharawhara,21.735,4.347
Adventure,Karaka Bay-Worser Bay,33.95,6.79
Adventure,Karori East,29.384,5.877
Adventure,Karori North,26.446,5.289
Adventure,Karori Park,28.556,5.711
Adventure,Karori South,29.091,5.818
Adventure,Kelburn,25.431,5.086
Adventure,Kelson,40.554,8.111
Adventure,Khandallah Park-Broadmeadows,19.816,3.963
Adventure,Kilbirnie East,29.812,5.962
Adventure,Kilbirnie West-Hataitai South,28.777,5.755
Adventure,Kingston-Mornington,29.324,5.865
Adventure,Korokoro,30.559,6.112
Adventure,Lambton,25.146,5.029
Adventure,Lansdowne,157.416,31.483
Adventure,Linden,7.717,1.543
Adventure,Lyall Bay-Airport-Moa Point,31.446,6.289
Adventure,Maidstone,51.164,10.233
Adventure,Makara-Ohariu,27.081,5.416
Adventure,Mana-Camborne,12.764,2.553
Adventure,Mangatainoka,224.602,44.92
Adventure,Manuka,45.4,9.08
Adventure,Maoribank,55.011,11.002
Adventure,Martinborough,109.745,21.949
Adventure,Masterton Central,158.003,31.601
Adventure,Masterton East,154.993,30.999
Adventure,Masterton Railway,158.313,31.663
Adventure,Masterton West,158.369,31.674
Adventure,Maungaraki,32.543,6.509
Adventure,Maupuia,34.708,6.942
Adventure,Melling,32.242,6.448
Adventure,Melrose-Houghton Bay-Southgate,31.226,6.245
Adventure,Miramar,32.706,6.541
Adventure,Miramar North,33.78,6.756
Adventure,Miramar South,31.785,6.357
Adventure,Miramar West,33.114,6.623
Adventure,Moera,32.654,6.531
Adventure,Mt Cook-Wallace Street,27.038,5.408
Adventure,Mt Holdsworth,152.905,30.581
Adventure,Mt Victoria West,26.845,5.369
Adventure,Naenae North,38.808,7.762
Adventure,Naenae South,37.447,7.489
Adventure,Newlands East,18.719,3.744
Adventure,Newlands North,17.272,3.454
Adventure,Newlands South,18.163,3.633
Adventure,Newtown East,29.234,5.847
Adventure,Newtown West,28.272,5.654
Adventure,Ngaio South,20.845,4.169
Adventure,Ngaumutawa,159.996,31.999
Adventure,Ngauranga East,23.712,4.742
Adventure,Ngauranga West,21.133,4.227
Adventure,Normandale,34.047,6.809
Adventure,Norsewood-Herbertville,292.994,58.599
Adventure,Northland,25.675,5.135
Adventure,Northland North,25.04,5.008
Adventure,Onepoto,10.004,2.001
Adventure,Opaki-Fernridge,160.737,32.147
Adventure,Oriental Bay,26.821,5.364
Adventure,Otaihanga,40.331,8.066
Adventure,Owahanga,251.678,50.336
Adventure,Paekakariki,26.273,5.255
Adventure,Pahiatua,229.774,45.955
Adventure,Papakowhai North,4.391,0.878
Adventure,Papakowhai South,4.296,0.859
Adventure,Paparangi,17.488,3.498
Adventure,Paparangi West,17.036,3.407
Adventure,Paraparaumu Beach North,38.38,7.676
Adventure,Paraparaumu Beach South,36.364,7.273
Adventure,Paraparaumu Central,36.249,7.25
Adventure,Paremata-Postgate,4.026,0.805
Adventure,Parkway,37.372,7.474
Adventure,Petone Central,29.691,5.938
Adventure,Pinehaven,47.262,9.452
Adventure,Plimmerton,17.417,3.483
Adventure,Poets Block,49.064,9.813
Adventure,Porirua Central,7.583,1.517
Adventure,Porirua East,4.295,0.859
Adventure,Pukerua Bay,19.844,3.969
Adventure,Rangoon Heights,19.022,3.804
Adventure,Ranui Heights,5.304,1.061
Adventure,Raroa,17.285,3.457
Adventure,Raumati Beach,33.405,6.681
Adventure,Raumati South,31.46,6.292
Adventure,Resolution,47.419,9.484
Adventure,Roseneath,27.982,5.596
Adventure,Seatoun,33.659,6.732
Adventure,Seatoun Tunnel West,32.396,6.479
Adventure,Solway North,160.169,32.034
Adventure,Solway South,154.694,30.939
Adventure,Strathmore Park,32.694,6.539
Adventure,Taita North,39.667,7.933
Adventure,Taita South,38.577,7.715
Adventure,Taitville,26.527,5.305
Adventure,Takapu,15.109,3.022
Adventure,Tawa Central,9.36,1.872
Adventure,Tawa South,10.797,2.159
Adventure,Tawhai,43.478,8.696
Adventure,Te Kainga,19.896,3.979
Adventure,Te Marua,60.751,12.15
Adventure,Thorndon-Tinakori Road,23.459,4.692
Adventure,Tirohanga,34.379,6.876
Adventure,Titahi Bay North,10.052,2.01
Adventure,Titahi Bay South,9.414,1.883
Adventure,Totara Park,53.16,10.632
Adventure,Trentham North,48.347,9.669
Adventure,Trentham South,47.816,9.563
Adventure,Tuturumuri,138.573,27.715
Adventure,Upper Hutt Central,50.501,10.1
Adventure,Vogeltown,28.315,5.663
Adventure,Vogeltown West,28.386,5.677
Adventure,Wadestown,22.926,4.585
Adventure,Waikanae Beach,43.065,8.613
Adventure,Waikanae East,88.638,17.728
Adventure,Waikanae Park,45.438,9.088
Adventure,Waikanae West,45.903,9.181
Adventure,Waingawa,144.725,28.945
Adventure,Waitangirua,0.45,0.09
Adventure,Waiwhetu North,34.744,6.949
Adventure,Waiwhetu South,34.723,6.945
Adventure,Wallaceville,49.86,9.972
Adventure,Waterloo East,35.476,7.095
Adventure,Waterloo West,33.858,6.772
Adventure,Whareama,181.849,36.37
Adventure,Wilford,31.24,6.248
Adventure,Willis Street-Cambridge Terrace,25.841,5.168
Adventure,Wilton,23.74,4.748
Adventure,Woburn North,33.275,6.655
Adventure,Woburn South,33.472,6.694
Adventure,Woodridge,18.751,3.75
Adventure,Woodville,263.407,52.681
Akatarawa,Akatarawa,0.0,0.0
Alicetown,Adelaide,17.112,3.422
Alicetown,Adventure,31.268,6.254
Alicetown,Alicetown,0.0,0.0
Alicetown,Arakura,10.369,2.074
Alicetown,Aro Street-Nairn Street,15.538,3.108
Alicetown,Ascot Park,30.472,6.096
Alicetown,Avalon East,5.721,1.144
Alicetown,Avalon West,5.716,1.143
Alicetown,Awarua,13.986,2.797
Alicetown,Belmont,11.752,2.35
Alicetown,Berhampore East,18.522,3.704
Alicetown,Berhampore West,18.442,3.688
Alicetown,Boulcott,3.766,0.753
Alicetown,Brentwood,17.012,3.402
Alicetown,Brooklyn,17.328,3.466
Alicetown,Brooklyn South,17.914,3.583
Alicetown,Cannons Creek East,29.843,5.969
Alicetown,Cannons Creek North,28.981,5.796
Alicetown,Cannons Creek South,29.745,5.949
Alicetown,Carterton,107.501,21.5
Alicetown,Churton Park North,19.015,3.803
Alicetown,Churton Park South,16.859,3.372
Alicetown,Clouston Park,21.063,4.213
Alicetown,Crofton Downs,18.099,3.62
Alicetown,Dannevirke East,257.392,51.478
Alicetown,Dannevirke West,256.692,51.338
Alicetown,Delaney,13.157,2.631
Alicetown,Discovery,32.752,6.552
Alicetown,Eastbourne,10.146,2.029
Alicetown,Ebdentown,20.224,4.045
Alicetown,Eketahuna,182.665,36.533
Alicetown,Elderslea,18.904,3.781
Alicetown,Elsdon-Takapuwahia,30.548,6.11
Alicetown,Emerald Hill,27.332,5.466
Alicetown,Endeavour,34.664,6.934
Alicetown,Epuni East,4.598,0.92
Alicetown,Epuni West,3.624,0.725
Alicetown,Esplanade,2.01,0.402
Alicetown,Featherston,62.021,12.404
Alicetown,Fernlea,8.863,1.773
Alicetown,Glendale,10.552,2.11
Alicetown,Glenside North,18.443,3.689
Alicetown,Gracefield,4.285,0.857
Alicetown,Greenacres,23.698,4.74
Alicetown,Grenada North,22.744,4.549
Alicetown,Grenada Village,18.591,3.718
Alicetown,Greytown,83.444,16.689
Alicetown,Happy Valley-Owhiro Bay,19.777,3.955
Alicetown,Hataitai North,16.971,3.394
Alicetown,Heretaunga,14.863,2.973
Alicetown,Heretaunga-Silverstream,13.826,2.765
Alicetown,Holborn,12.14,2.428
Alicetown,Homedale East,10.732,2.146
Alicetown,Homedale West,11.453,2.291
Alicetown,Hutt Central,1.733,0.347
Alicetown,Island Bay East,20.11,4.022
Alicetown,Island Bay West,20.387,4.077
Alicetown,Johnsonville Central,15.34,3.068
Alicetown,Johnsonville East,15.853,3.171
Alicetown,Johnsonville North,16.082,3.216
Alicetown,Kahutara,79.775,15.955
Alicetown,Kaitawa,58.443,11.689
Alicetown,Kaiwharawhara,10.494,2.099
Alicetown,Karaka Bay-Worser Bay,22.915,4.583
Alicetown,Karori East,18.349,3.67
Alicetown,Karori North,16.665,3.333
Alicetown,Karori Park,18.525,3.705
Alicetown,Karori South,18.528,3.706
Alicetown,Kelburn,14.395,2.879
Alicetown,Kelson,9.397,1.879
Alicetown,Khandallah Park-Broadmeadows,13.719,2.744
Alicetown,Kilbirnie East,18.777,3.755
Alicetown,Kilbirnie West-Hataitai South,17.742,3.548
Alicetown,Kingston-Mornington,18.289,3.658
Alicetown,Korokoro,2.981,0.596
Alicetown,Lambton,14.11,2.822
Alicetown,Lansdowne,126.259,25.252
Alicetown,Linden,23.745,4.749
Alicetown,Lyall Bay-Airport-Moa Point,20.411,4.082
Alicetown,Maidstone,20.007,4.001
Alicetown,Makara-Ohariu,24.014,4.803
Alicetown,Mana-Camborne,42.352,8.472
Alicetown,Mangatainoka,193.445,38.689
Alicetown,Manuka,14.243,2.849
Alicetown,Maoribank,23.853,4.771
Alicetown,Martinborough,78.588,15.718
Alicetown,Masterton Central,126.845,25.369
Alicetown,Masterton East,123.836,24.767
Alicetown,Masterton Railway,127.156,25.431
Alicetown,Masterton West,127.212,25.442
Alicetown,Maungaraki,3.963,0.793
Alicetown,Maupuia,23.673,4.735
Alicetown,Melling,1.129,0.226
Alicetown,Melrose-Houghton Bay-Southgate,20.192,4.038
Alicetown,Miramar,21.672,4.334
Alicetown,Miramar North,22.746,4.549
Alicetown,Miramar South,20.75,4.15
Alicetown,Miramar West,22.079,4.416
Alicetown,Moera,3.118,0.624
Alicetown,Mt Cook-Wallace Street,16.004,3.201
Alicetown,Mt Holdsworth,121.747,24.349
Alicetown,Mt Victoria West,15.81,3.162
Alicetown,Naenae North,7.642,1.528
Alicetown,Naenae South,6.282,1.256
Alicetown,Newlands East,18.291,3.658
Alicetown,Newlands North,16.711,3.342
Alicetown,Newlands South,16.877,3.375
Alicetown,Newtown East,18.2,3.64
Alicetown,Newtown West,17.237,3.447
Alicetown,Ngaio South,12.46,2.492
Alicetown,Ngaumutawa,128.839,25.768
Alicetown,Ngauranga East,8.768,1.754
Alicetown,Ngauranga West,12.885,2.577
Alicetown,Normandale,3.305,0.661
