AU name,AU name,Total_CycleTime,Total_Length
Waiwhetu North,Paparangi West,79.3862492496,21169.6664665536
Waiwhetu North,Newlands North,79.6801145328,21248.0305420907
Waiwhetu North,Churton Park South,79.9645639652,21323.8837240665
Waiwhetu North,Newlands South,80.031384077,21341.7024205394
Waiwhetu North,Kilbirnie West-Hataitai South,80.7242299346,21526.4613159053
Waiwhetu North,Paparangi,80.9881019442,21596.8271851305
Waiwhetu North,Brooklyn South,81.1485868582,21639.6231621759
Waiwhetu North,Crofton Downs,81.3884722493,21703.5925998124
Waiwhetu North,Newtown East,81.6561048517,21774.9612937923
Waiwhetu North,Kingston-Mornington,82.5196681147,22005.2448305832
Waiwhetu North,Berhampore West,82.5655657739,22017.4842063604
Waiwhetu North,Karori Park,82.7541550294,22067.7746745151
Waiwhetu North,Karori South,82.7686917917,22071.6511444448
Waiwhetu North,Berhampore East,82.8663160893,22097.6842904687
Waiwhetu North,Kilbirnie East,84.7479681378,22599.4581700684
Waiwhetu North,Maoribank,85.4849937851,22795.99834268
Waiwhetu North,Newlands East,85.6035535287,22827.6142743186
Waiwhetu North,Woodridge,85.7260730851,22860.2861560187
Waiwhetu North,Glenside North,85.9050801322,22908.0213685799
Waiwhetu North,Grenada Village,86.6493583578,23106.4955620835
Waiwhetu North,Churton Park North,88.0501279297,23480.03411458
Waiwhetu North,Happy Valley-Owhiro Bay,88.1335220403,23502.2725440759
Waiwhetu North,Island Bay East,88.8200245833,23685.3398888854
Waiwhetu North,Melrose-Houghton Bay-Southgate,89.1263978314,23767.0394217155
Waiwhetu North,Island Bay West,89.8587628127,23962.3367500578
Waiwhetu North,Lyall Bay-Airport-Moa Point,90.6342088388,24169.1223570045
Waiwhetu North,Miramar South,92.0238940297,24539.7050745855
Waiwhetu North,Karori East,93.7866133509,24665.917734946
Waiwhetu North,Seatoun Tunnel West,94.3145148931,25150.5373048362
Waiwhetu North,Strathmore Park,95.4343395071,25449.1572018804
Waiwhetu North,Miramar,95.4791701282,25461.1120341766
Waiwhetu North,Tawa South,96.0396786233,25610.5809662084
Waiwhetu North,Miramar West,97.0075408411,25868.6775576183
Waiwhetu North,Emerald Hill,98.5948350447,26291.9560119169
Waiwhetu North,Seatoun,99.0497274507,26413.2606535099
Waiwhetu North,Miramar North,99.5146035487,26537.2276129897
Waiwhetu North,Karaka Bay-Worser Bay,100.1410798337,26704.2879556589
Waiwhetu North,Tawa Central,101.1920270596,26984.540549236
Waiwhetu North,Grenada North,102.031361524,27208.3630730565
Waiwhetu North,Maupuia,102.9924354902,27464.6494640507
Waiwhetu North,Makara-Ohariu,103.3382994108,27556.8798428697
Waiwhetu North,Greenacres,105.6096606901,28162.5761840146
Waiwhetu North,Linden,105.7874001151,28209.9733640245
Waiwhetu North,Te Marua,107.0118236844,28536.4863158337
Waiwhetu North,Takapu,109.901579686,29307.087916275
Waiwhetu North,Porirua Central,111.3783889284,29700.9037142275
Waiwhetu North,Porirua East,120.627950558,32167.4534821436
Waiwhetu North,Ranui Heights,123.0454944302,32812.131848061
Waiwhetu North,Cannons Creek North,125.8567541768,33561.8011138228
Waiwhetu North,Cannons Creek South,128.6696732808,34311.9128748886
Waiwhetu North,Cannons Creek East,129.0377996445,34410.0799052106
Waiwhetu North,Titahi Bay South,131.1964136865,34985.7103163939
Waiwhetu North,Elsdon-Takapuwahia,131.296629218,35012.4344581457
Waiwhetu North,Waitangirua,132.6926400789,35384.7040210455
Waiwhetu North,Onepoto,133.406925259,35575.1800690555
Waiwhetu North,Titahi Bay North,133.5888785852,35623.7009560622
Waiwhetu North,Adventure,134.3807220106,35834.8592028291
Waiwhetu North,Ascot Park,140.2995248844,37413.206635853
Waiwhetu North,Discovery,142.9791135881,38127.7636235045
Waiwhetu North,Paremata-Postgate,146.2120098408,38989.8692908711
Waiwhetu North,Papakowhai South,146.4063679167,38500.7891520092
Waiwhetu North,Papakowhai North,147.5831766527,39355.5137740412
Waiwhetu North,Endeavour,150.1488071313,40039.6819016858
Waiwhetu North,Mana-Camborne,178.9806017659,47728.1604709103
Waiwhetu North,Plimmerton,196.4307715347,52381.539075929
Waiwhetu North,Pukerua Bay,205.5310917027,54808.2911207198
Waiwhetu North,Waikanae East,211.6545286322,56441.2076352469
Waiwhetu North,Kaitawa,215.2633303634,57403.5547635833
Waiwhetu North,Paekakariki,231.0219419197,61605.8511785852
Waiwhetu North,Raumati South,254.0044431892,67343.5982476407
Waiwhetu North,Raumati Beach,257.766671268,68737.7790048078
Waiwhetu North,Paraparaumu Central,268.4337092353,71582.3224627457
Waiwhetu North,Paraparaumu Beach South,268.8633623127,71696.8966167155
Waiwhetu North,Paraparaumu Beach North,276.6243708877,73766.4989033844
Waiwhetu North,Otaihanga,281.1418684871,74971.1649298989
Waiwhetu North,Waikanae Beach,297.6294902533,78397.5433050903
Waiwhetu North,Waikanae Park,306.8406424427,81765.0574532018
Waiwhetu North,Waikanae West,308.5830717035,82229.7052560856
Waiwhetu North,Featherston,318.4927353431,60963.9860095498
Waiwhetu North,Martinborough,380.8010244875,77579.5297813942
Waiwhetu North,Kahutara,392.3252285376,78717.5185529309
Waiwhetu North,Greytown,412.3935715592,86004.2090005103
Waiwhetu North,Tuturumuri,488.9050522529,106407.270518841
Waiwhetu North,Carterton,489.2262176127,106492.914614778
Waiwhetu North,Waingawa,512.6896500354,112749.829927493
Waiwhetu North,Solway South,549.3601582249,122528.632111368
Waiwhetu North,Masterton East,550.4829837864,122828.052261102
Waiwhetu North,Lansdowne,559.5697384303,125251.18683281
Waiwhetu North,Masterton Central,561.7767145986,125839.713811019
Waiwhetu North,Masterton Railway,562.9414175254,126150.301258164
Waiwhetu North,Masterton West,563.151316552,126206.274331933
Waiwhetu North,Ngaumutawa,569.2539573974,127833.645224025
Waiwhetu North,Solway North,569.9002548192,128005.991203175
Waiwhetu North,Mt Holdsworth,570.5374959184,124307.528458314
Waiwhetu North,Opaki-Fernridge,572.0307923047,128574.134532648
Waiwhetu North,Whareama,651.1915232568,149683.662786527
Waiwhetu North,Eketahuna,770.5296337568,181507.15891986
Waiwhetu North,Mangatainoka,821.0579217253,193527.715540413
Waiwhetu North,Pahiatua,835.0013029332,198699.604033572
Waiwhetu North,Owahanga,940.5946206268,220604.225277855
Waiwhetu North,Woodville,961.1249004494,232332.563371228
Waiwhetu North,Dannevirke West,1052.7860637541,256775.540252473
Waiwhetu North,Dannevirke East,1055.4112485918,257475.58954253
Waiwhetu North,Norsewood-Herbertville,1072.0784211397,261920.168888643
Ngauranga East,Ngauranga East,0,0
Ngauranga East,Kaiwharawhara,11.0181064616,2938.1617230866
Ngauranga East,Te Kainga,17.9400463392,4784.0123571278
Ngauranga East,Thorndon-Tinakori Road,18.4703898684,4925.4372982448
Ngauranga East,Ngaio South,18.5935381198,4958.2768319382
Ngauranga East,Ngauranga West,19.9847438437,5329.2650249778
Ngauranga East,Wadestown,22.2985803716,5946.2880990931
Ngauranga East,Rangoon Heights,22.3855535578,5969.4809487354
Ngauranga East,Awarua,24.314751365,6483.9336973451
Ngauranga East,Khandallah Park-Broadmeadows,25.0925503639,6163.3302515981
Ngauranga East,Raroa,26.1776142127,6980.697123383
Ngauranga East,Lambton,26.5923303203,7091.2880854205
Ngauranga East,Willis Street-Cambridge Terrace,27.4864645129,7329.7238701185
Ngauranga East,Northland,27.8406585482,7424.1756128474
Ngauranga East,Petone Central,28.2936525318,7544.9740084933
Ngauranga East,Kelburn,29.0197682697,7738.6048719167
Ngauranga East,Johnsonville Central,29.191912685,7784.5100493421
Ngauranga East,Northland North,29.2543173912,7801.1513043252
Ngauranga East,Wilton,29.7634637212,7936.9236589761
Ngauranga East,Taitville,30.6604559396,8176.1215838987
Ngauranga East,Aro Street-Nairn Street,30.9412716398,8251.0057706254
Ngauranga East,Oriental Bay,31.0414379686,8277.7167916215
Ngauranga East,Johnsonville East,31.1162983614,8297.6795630279
Ngauranga East,Mt Victoria West,31.4338277662,8382.3540709884
Ngauranga East,Korokoro,31.5231330773,8406.1688206009
Ngauranga East,Esplanade,31.9118010118,8509.8136031562
