origin (2013 area unit name),destination,distance (meters),time (minutes)
Adelaide,Newtown East,2837,21.266666666666666
Adelaide,Newtown West,1765,13.816666666666666
Adelaide,Ngaio South,14480,39.016666666666666
Adelaide,Ngaumutawa,95002,140.71666666666667
Adelaide,Ngauranga East,10178,39.18333333333333
Adelaide,Ngauranga West,10662,47.016666666666666
Adelaide,Nireaha-Tiraumea,205180,283.9
Adelaide,Normandale,25958,73.36666666666666
Adelaide,Norsewood-Herbertville,,
Adelaide,Northland,6999,32.68333333333333
Adelaide,Northland North,7348,42.5
Adelaide,Onepoto,33080,110.11666666666666
Adelaide,Opaki-Fernridge,98563,135.03333333333333
Adelaide,Oriental Bay,3680,21.216666666666665
Adelaide,Otaihanga,58951,221.51666666666668
Adelaide,Otaki,73146,105.26666666666667
Adelaide,Otaki Forks,,
Adelaide,Owahanga,,
Adelaide,Paekakariki,45430,89.05
Adelaide,Paekakariki Hill,51021,94.45
Adelaide,Pahiatua,168513,257.81666666666666
Adelaide,Papakowhai North,27993,82.96666666666667
Adelaide,Papakowhai South,27125,79.06666666666666
Adelaide,Paparangi,14485,61.18333333333333
Adelaide,Paparangi West,21161,73.08333333333333
Adelaide,Papatawa,162875,244.8
Adelaide,Paraparaumu Beach North,59421,202.31666666666666
Adelaide,Paraparaumu Beach South,58202,114.45
Adelaide,Paraparaumu Central,55661,110.25
Adelaide,Paremata-Postgate,27934,84.51666666666667
Adelaide,Parkway,30306,77.91666666666667
Adelaide,Pauatahanui,45173,100.03333333333333
Adelaide,Peka Peka,67176,132.26666666666668
Adelaide,Pencarrow,38215,88.7
Adelaide,Petone Central,15878,41.6
Adelaide,Pinehaven,35950,90.0
Adelaide,Plimmerton,30994,95.7
Adelaide,Poets Block,39833,101.03333333333333
Adelaide,Porirua Central,22537,81.03333333333333
Adelaide,Porirua East,24259,75.16666666666667
Adelaide,Pukerua Bay,36228,92.23333333333333
Adelaide,Rangoon Heights,13734,67.91666666666667
Adelaide,Ranui Heights,24163,83.71666666666667
Adelaide,Raroa,14891,66.61666666666666
Adelaide,Raumati Beach,55918,113.9
Adelaide,Raumati South,59129,213.03333333333333
Adelaide,Resolution,43804,123.28333333333333
Adelaide,Riverstone Terraces,39900,134.8
Adelaide,Roseneath,5425,25.583333333333332
Adelaide,Seatoun,8484,38.95
Adelaide,Seatoun Tunnel West,7344,24.433333333333334
Adelaide,Solway North,93710,138.55
Adelaide,Solway South,95316,157.7
Adelaide,Strathmore Park,9061,25.4
Adelaide,Taita North,27855,71.93333333333334
Adelaide,Taita South,25030,74.95
Adelaide,Taitville,7308,30.683333333333334
Adelaide,Takapu,,
Adelaide,Tawa Central,19352,65.18333333333334
Adelaide,Tawa South,17478,63.6
Adelaide,Tawhai,32660,77.11666666666666
Adelaide,Te Horo,72973,137.28333333333333
Adelaide,Te Kainga,12046,39.5
Adelaide,Te Marua,47148,115.78333333333333
Adelaide,Te Wharau,,
Adelaide,Thorndon-Tinakori Road,5555,27.816666666666666
Adelaide,Tirohanga,22775,80.8
Adelaide,Titahi Bay North,29045,85.63333333333334
Adelaide,Titahi Bay South,28134,83.83333333333333
Adelaide,Totara Park,40291,111.35
Adelaide,Trentham North,35200,90.68333333333334
Adelaide,Trentham South,34959,99.73333333333333
Adelaide,Tuturumuri,,
Adelaide,Upper Hutt Central,37700,89.15
Adelaide,Vogeltown,1884,26.116666666666667
Adelaide,Vogeltown West,7304,32.166666666666664
Adelaide,Wadestown,7469,43.983333333333334
Adelaide,Waikanae Beach,66407,412.55
Adelaide,Waikanae East,61239,207.41666666666666
Adelaide,Waikanae Park,63708,420.6
Adelaide,Waikanae West,61435,205.68333333333334
Adelaide,Waingawa,92657,303.0833333333333
Adelaide,Waitangirua,27447,83.51666666666667
Adelaide,Waiwhetu North,25342,76.65
Adelaide,Waiwhetu South,20624,70.16666666666667
Adelaide,Wallaceville,36386,84.96666666666667
Adelaide,Waterloo East,21248,67.26666666666667
Adelaide,Waterloo West,20623,62.5
Adelaide,Whareama,,
Adelaide,Wilford,17506,48.18333333333333
Adelaide,Willis Street-Cambridge Terrace,2698,14.566666666666666
Adelaide,Wilton,10460,39.1
Adelaide,Woburn North,19454,59.53333333333333
Adelaide,Woburn South,21933,79.46666666666667
Adelaide,Woodridge,16932,65.11666666666666
Adelaide,Woodville,155116,239.9
Adventure,Adelaide,28005,90.18333333333334
Adventure,Adventure,0,0.0
Adventure,Akatarawa,64344,155.33333333333334
Adventure,Alicetown,36297,72.08333333333333
Adventure,Arakura,49129,97.83333333333333
Adventure,Aro Street-Nairn Street,26656,85.8
Adventure,Ascot Park,3090,16.8
Adventure,Avalon East,41786,80.11666666666666
Adventure,Avalon West,42905,93.71666666666667
Adventure,Awarua,29865,98.5
Adventure,Belmont,,
Adventure,Berhampore East,29987,96.15
Adventure,Berhampore West,29829,94.53333333333333
Adventure,Boulcott,40807,86.4
Adventure,Brentwood,53929,106.11666666666666
Adventure,Brooklyn,28689,130.51666666666668
Adventure,Brooklyn South,29675,501.5833333333333
Adventure,Cannons Creek East,1738,12.15
Adventure,Cannons Creek North,2584,13.733333333333333
Adventure,Cannons Creek South,3312,26.2
Adventure,Carterton,100747,162.61666666666667
Adventure,Churton Park North,18282,104.05
Adventure,Churton Park South,18175,88.45
Adventure,Clouston Park,57967,111.05
Adventure,Cloustonville,69780,132.25
Adventure,Crofton Downs,29612,111.81666666666666
Adventure,Dannevirke East,164333,237.48333333333332
Adventure,Dannevirke West,165308,250.33333333333334
Adventure,Delaney,50093,134.28333333333333
Adventure,Discovery,4653,35.11666666666667
Adventure,Eastbourne,49051,134.13333333333333
Adventure,Ebdentown,56942,111.28333333333333
Adventure,Eketahuna,176919,238.08333333333334
Adventure,Elderslea,55921,110.28333333333333
Adventure,Elsdon-Takapuwahia,9489,61.15
Adventure,Emerald Hill,63639,132.26666666666668
Adventure,Endeavour,7177,58.88333333333333
Adventure,Epuni East,40711,85.85
Adventure,Epuni West,40230,79.36666666666666
Adventure,Esplanade,37090,81.45
Adventure,Featherston,80666,133.18333333333334
Adventure,Fernlea,46697,106.41666666666667
Adventure,Glendale,51898,105.38333333333334
Adventure,Glenside North,14829,69.63333333333334
Adventure,Gracefield,38315,107.56666666666666
Adventure,Greenacres,9416,48.016666666666666
Adventure,Grenada North,13352,65.2
Adventure,Grenada Village,17596,100.93333333333334
Adventure,Greytown,98582,155.76666666666668
Adventure,Happy Valley-Owhiro Bay,32795,122.56666666666666
Adventure,Hataitai North,27785,73.88333333333334
Adventure,Haywards-Manor Park,49037,115.2
Adventure,Heretaunga,52511,101.1
Adventure,Heretaunga-Silverstream,50138,88.08333333333333
Adventure,Holborn,47607,117.56666666666666
Adventure,Homebush-Te Ore Ore,121789,310.53333333333336
Adventure,Homedale East,48314,106.08333333333333
Adventure,Homedale West,52760,103.35
Adventure,Horokiwi,40225,486.78333333333336
Adventure,Hutt Central,39807,84.23333333333333
Adventure,Island Bay East,31742,104.1
Adventure,Island Bay West,31722,103.93333333333334
Adventure,Johnsonville Central,19078,81.76666666666667
Adventure,Johnsonville East,18449,86.71666666666667
Adventure,Johnsonville North,18546,86.63333333333334
Adventure,Kahutara,100590,149.65
Adventure,Kaitawa,56577,93.26666666666667
Adventure,Kaiwharawhara,30348,75.13333333333334
Adventure,Kapiti Island,,
Adventure,Karaka Bay-Worser Bay,34478,101.2
Adventure,Karori East,28039,92.13333333333334
Adventure,Karori North,28557,80.76666666666667
Adventure,Karori Park,30104,78.65
Adventure,Karori South,31903,102.75
Adventure,Kelburn,26319,81.73333333333333
Adventure,Kelson,,
Adventure,Khandallah Park-Broadmeadows,54592,178.35
Adventure,Kilbirnie East,29805,79.9
Adventure,Kilbirnie West-Hataitai South,28654,74.75
Adventure,Kingston-Mornington,30294,125.88333333333334
Adventure,Kopuaranga,,
Adventure,Korokoro,35735,94.6
Adventure,Lambton,24271,61.78333333333333
Adventure,Lansdowne,116621,198.15
Adventure,Linden,8353,31.55
Adventure,Lyall Bay-Airport-Moa Point,31442,97.03333333333333
Adventure,Maidstone,56073,101.11666666666666
Adventure,Makara-Ohariu,42786,145.2
Adventure,Mana Island,12243,46.06666666666667
Adventure,Mana-Camborne,11730,70.65
Adventure,Mangaroa,71953,125.93333333333334
Adventure,Mangatainoka,161205,229.9
Adventure,Manuka,53624,164.01666666666668
Adventure,Maoribank,61525,118.38333333333334
Adventure,Mara,,
Adventure,Martinborough,99899,156.05
Adventure,Masterton Central,115265,180.06666666666666
Adventure,Masterton East,211997,282.6
Adventure,Masterton Railway,113318,172.26666666666668
Adventure,Masterton West,113286,171.91666666666666
Adventure,Maungakotukutuku,45455,88.96666666666667
Adventure,Maungaraki,38548,87.5
Adventure,Maupuia,35384,112.11666666666666
Adventure,Melling,37217,82.98333333333333
Adventure,Melrose-Houghton Bay-Southgate,31939,117.91666666666667
Adventure,Miramar,32874,89.81666666666666
Adventure,Miramar North,34125,94.21666666666667
Adventure,Miramar South,31702,85.63333333333334
Adventure,Miramar West,33142,93.45
Adventure,Mitchelltown,27488,88.18333333333334
Adventure,Moera,38817,83.31666666666666
Adventure,Moonshine Valley,,
Adventure,Mt Cook-Wallace Street,26646,73.76666666666667
Adventure,Mt Holdsworth,,
Adventure,Mt Victoria West,26793,68.13333333333334
Adventure,Naenae North,44828,112.33333333333333
Adventure,Naenae South,42731,92.9
Adventure,Newlands East,34619,119.6
Adventure,Newlands North,19704,96.51666666666667
Adventure,Newlands South,32097,114.28333333333333
Adventure,Newtown East,29732,97.6
Adventure,Newtown West,28812,90.8
Adventure,Ngaio South,29475,101.31666666666666
Adventure,Ngaumutawa,113505,175.05
Adventure,Ngauranga East,28978,104.98333333333333
Adventure,Ngauranga West,29388,111.78333333333333
Adventure,Nireaha-Tiraumea,189294,249.75
Adventure,Normandale,40359,94.05
Adventure,Norsewood-Herbertville,,
Adventure,Northland,28087,82.55
Adventure,Northland North,29085,92.96666666666667
Adventure,Onepoto,16385,70.96666666666667
Adventure,Opaki-Fernridge,117066,169.36666666666667
Adventure,Oriental Bay,27056,72.23333333333333
Adventure,Otaihanga,45140,111.48333333333333
Adventure,Otaki,57259,95.96666666666667
Adventure,Otaki Forks,,
Adventure,Owahanga,,
Adventure,Paekakariki,31217,65.53333333333333
Adventure,Paekakariki Hill,36808,70.93333333333334
Adventure,Pahiatua,152627,223.66666666666666
Adventure,Papakowhai North,4923,30.233333333333334
Adventure,Papakowhai South,4570,27.516666666666666
Adventure,Paparangi,19416,100.31666666666666
Adventure,Paparangi West,18980,91.1
Adventure,Papatawa,146989,210.65
Adventure,Paraparaumu Beach North,45610,92.28333333333333
Adventure,Paraparaumu Beach South,43988,90.93333333333334
Adventure,Paraparaumu Central,41447,86.73333333333333
Adventure,Paremata-Postgate,5190,37.6
Adventure,Parkway,45953,93.93333333333334
Adventure,Pauatahanui,22774,54.68333333333333
Adventure,Peka Peka,50085,104.08333333333333
Adventure,Pencarrow,53869,104.71666666666667
Adventure,Petone Central,34324,70.48333333333333
Adventure,Pinehaven,54437,114.81666666666666
Adventure,Plimmerton,16781,72.18333333333334
Adventure,Poets Block,58217,112.68333333333334
Adventure,Porirua Central,7688,54.53333333333333
Adventure,Porirua East,4171,20.033333333333335
Adventure,Pukerua Bay,22014,68.71666666666667
Adventure,Rangoon Heights,32118,109.56666666666666
Adventure,Ranui Heights,5466,35.733333333333334
Adventure,Raroa,19723,90.21666666666667
Adventure,Raumati Beach,41704,90.38333333333334
Adventure,Raumati South,45318,103.0
Adventure,Resolution,21405,77.93333333333334
Adventure,Riverstone Terraces,58268,157.41666666666666
Adventure,Roseneath,30403,85.1
Adventure,Seatoun,35745,127.58333333333333
Adventure,Seatoun Tunnel West,32740,99.05
Adventure,Solway North,112213,172.88333333333333
Adventure,Solway South,113819,192.03333333333333
Adventure,Strathmore Park,33990,109.86666666666666
Adventure,Taita North,45663,87.63333333333334
Adventure,Taita South,43414,86.6
Adventure,Taitville,26543,76.7
Adventure,Takapu,,
Adventure,Tawa Central,10203,42.03333333333333
Adventure,Tawa South,13222,74.48333333333333
Adventure,Tawhai,51888,161.45
Adventure,Te Horo,55882,109.1
Adventure,Te Kainga,31201,103.13333333333334
Adventure,Te Marua,65532,127.43333333333334
Adventure,Te Wharau,,
Adventure,Thorndon-Tinakori Road,23836,55.6
Adventure,Tirohanga,42023,115.5
Adventure,Titahi Bay North,12350,46.483333333333334
Adventure,Titahi Bay South,10992,44.68333333333333
Adventure,Totara Park,58675,123.0
Adventure,Trentham North,53584,102.33333333333333
Adventure,Trentham South,53343,111.38333333333334
Adventure,Tuturumuri,,
Adventure,Upper Hutt Central,56084,100.8
Adventure,Vogeltown,29002,102.1
Adventure,Vogeltown West,29353,123.18333333333334
Adventure,Wadestown,26508,78.66666666666667
Adventure,Waikanae Beach,49698,496.8833333333333
Adventure,Waikanae East,47429,97.38333333333334
Adventure,Waikanae Park,46999,504.93333333333334
Adventure,Waikanae West,47625,95.65
Adventure,Waingawa,111160,331.1
Adventure,Waitangirua,380,4.466666666666667
Adventure,Waiwhetu North,40052,88.48333333333333
Adventure,Waiwhetu South,39065,86.18333333333334
Adventure,Wallaceville,54770,96.61666666666666
Adventure,Waterloo East,39689,83.28333333333333
Adventure,Waterloo West,39007,74.15
Adventure,Whareama,,
Adventure,Wilford,36360,72.68333333333334
Adventure,Willis Street-Cambridge Terrace,25380,68.43333333333334
Adventure,Wilton,29356,85.11666666666666
Adventure,Woburn North,37838,71.18333333333334
Adventure,Woburn South,38325,77.66666666666667
Adventure,Woodridge,35643,120.96666666666667
Adventure,Woodville,139230,205.75
Akatarawa,Adelaide,45717,129.63333333333333
Akatarawa,Adventure,64064,170.36666666666667
Akatarawa,Akatarawa,0,0.0
Akatarawa,Alicetown,30289,89.81666666666666
Akatarawa,Arakura,35950,102.63333333333334
Akatarawa,Aro Street-Nairn Street,46249,130.15
Akatarawa,Ascot Park,65805,166.8
Akatarawa,Avalon East,23201,76.91666666666667
Akatarawa,Avalon West,24154,73.35
Akatarawa,Awarua,47690,133.3
Akatarawa,Belmont,,
Akatarawa,Berhampore East,47812,137.95
Akatarawa,Berhampore West,47654,136.33333333333334
Akatarawa,Boulcott,26829,81.58333333333333
Akatarawa,Brentwood,12085,58.71666666666667
Akatarawa,Brooklyn,46514,135.31666666666666
Akatarawa,Brooklyn South,47500,143.85
Akatarawa,Cannons Creek East,62697,161.18333333333334
Akatarawa,Cannons Creek North,61866,158.8
Akatarawa,Cannons Creek South,63174,166.3
Akatarawa,Carterton,53625,167.41666666666666
Akatarawa,Churton Park North,62372,196.31666666666666
Akatarawa,Churton Park South,53119,156.18333333333334
Akatarawa,Clouston Park,7129,47.75
Akatarawa,Cloustonville,10939,32.75
Akatarawa,Crofton Downs,47437,144.08333333333334
Akatarawa,Dannevirke East,216563,337.28333333333336
Akatarawa,Dannevirke West,217538,350.1333333333333
Akatarawa,Delaney,21531,109.08333333333333
Akatarawa,Discovery,67855,171.25
Akatarawa,Eastbourne,39304,139.38333333333333
Akatarawa,Ebdentown,9148,57.28333333333333
Akatarawa,Eketahuna,229149,337.8833333333333
Akatarawa,Elderslea,10584,57.88333333333333
Akatarawa,Elsdon-Takapuwahia,62959,183.41666666666666
Akatarawa,Emerald Hill,5181,51.733333333333334
Akatarawa,Endeavour,90086,257.35
Akatarawa,Epuni East,25438,86.65
Akatarawa,Epuni West,26707,80.15
Akatarawa,Esplanade,32153,100.7
Akatarawa,Featherston,33545,137.98333333333332
Akatarawa,Fernlea,33518,111.21666666666667
Akatarawa,Glendale,38719,110.18333333333334
Akatarawa,Glenside North,58919,161.9
Akatarawa,Gracefield,35036,112.36666666666666
Akatarawa,Greenacres,57268,158.28333333333333
Akatarawa,Grenada North,55133,165.46666666666667
Akatarawa,Grenada Village,55121,180.15
Akatarawa,Greytown,51477,135.56666666666666
Akatarawa,Happy Valley-Owhiro Bay,50652,152.68333333333334
Akatarawa,Hataitai North,45610,133.68333333333334
Akatarawa,Haywards-Manor Park,19293,94.0
Akatarawa,Heretaunga,14138,61.65
