origin area unit,destination area unit,distance (kilometers),time (hours)
Adelaide,Paremata-Postgate,27.934,1.409
Adelaide,Parkway,30.306,1.299
Adelaide,Pauatahanui,45.173,1.667
Adelaide,Peka Peka,67.176,2.204
Adelaide,Pencarrow,38.215,1.478
Adelaide,Petone Central,15.878,0.693
Adelaide,Pinehaven,35.95,1.5
Adelaide,Plimmerton,30.994,1.595
Adelaide,Poets Block,39.833,1.684
Adelaide,Porirua Central,22.537,1.351
Adelaide,Porirua East,24.259,1.253
Adelaide,Pukerua Bay,36.228,1.537
Adelaide,Rangoon Heights,13.734,1.132
Adelaide,Ranui Heights,24.163,1.395
Adelaide,Raroa,14.891,1.11
Adelaide,Raumati Beach,55.918,1.898
Adelaide,Raumati South,59.129,3.551
Adelaide,Resolution,43.804,2.055
Adelaide,Riverstone Terraces,39.9,2.247
Adelaide,Roseneath,5.425,0.426
Adelaide,Seatoun,8.484,0.649
Adelaide,Seatoun Tunnel West,7.344,0.407
Adelaide,Solway North,93.71,2.309
Adelaide,Solway South,95.316,2.628
Adelaide,Strathmore Park,9.061,0.423
Adelaide,Taita North,27.855,1.199
Adelaide,Taita South,25.03,1.249
Adelaide,Taitville,7.308,0.511
Adelaide,Takapu,,
Adelaide,Tawa Central,19.352,1.086
Adelaide,Tawa South,17.478,1.06
Adelaide,Tawhai,32.66,1.285
Adelaide,Te Horo,72.973,2.288
Adelaide,Te Kainga,12.046,0.658
Adelaide,Te Marua,47.148,1.93
Adelaide,Te Wharau,,
Adelaide,Thorndon-Tinakori Road,5.555,0.464
Adelaide,Tirohanga,22.775,1.347
Adelaide,Titahi Bay North,29.045,1.427
Adelaide,Titahi Bay South,28.134,1.397
Adelaide,Totara Park,40.291,1.856
Adelaide,Trentham North,35.2,1.511
Adelaide,Trentham South,34.959,1.662
Adelaide,Tuturumuri,,
Adelaide,Upper Hutt Central,37.7,1.486
Adelaide,Vogeltown,1.884,0.435
Adelaide,Vogeltown West,7.304,0.536
Adelaide,Wadestown,7.469,0.733
Adelaide,Waikanae Beach,66.407,6.876
Adelaide,Waikanae East,61.239,3.457
Adelaide,Waikanae Park,63.708,7.01
Adelaide,Waikanae West,61.435,3.428
Adelaide,Waingawa,92.657,5.051
Adelaide,Waitangirua,27.447,1.392
Adelaide,Waiwhetu North,25.342,1.278
Adelaide,Waiwhetu South,20.624,1.169
Adelaide,Wallaceville,36.386,1.416
Adelaide,Waterloo East,21.248,1.121
Adelaide,Waterloo West,20.623,1.042
Adelaide,Whareama,,
Adelaide,Wilford,17.506,0.803
Adelaide,Willis Street-Cambridge Terrace,2.698,0.243
Adelaide,Wilton,10.46,0.652
Adelaide,Woburn North,19.454,0.992
Adelaide,Woburn South,21.933,1.324
Adelaide,Woodridge,16.932,1.085
Adelaide,Woodville,155.116,3.998
Adventure,Adelaide,28.005,1.503
Adventure,Adventure,0.0,0.0
Adventure,Akatarawa,64.344,2.589
Adventure,Alicetown,36.297,1.201
Adventure,Arakura,49.129,1.631
Adventure,Aro Street-Nairn Street,26.656,1.43
Adventure,Ascot Park,3.09,0.28
Adventure,Avalon East,41.786,1.335
Adventure,Avalon West,42.905,1.562
Adventure,Awarua,29.865,1.642
Adventure,Belmont,,
Adventure,Berhampore East,29.987,1.603
Adventure,Berhampore West,29.829,1.576
Adventure,Boulcott,40.807,1.44
Adventure,Brentwood,53.929,1.769
Adventure,Brooklyn,28.689,2.175
Adventure,Brooklyn South,29.675,8.36
Adventure,Cannons Creek East,1.738,0.203
Adventure,Cannons Creek North,2.584,0.229
Adventure,Cannons Creek South,3.312,0.437
Adventure,Carterton,100.747,2.71
Adventure,Churton Park North,18.282,1.734
Adventure,Churton Park South,18.175,1.474
Adventure,Clouston Park,57.967,1.851
Adventure,Cloustonville,69.78,2.204
Adventure,Crofton Downs,29.612,1.864
Adventure,Dannevirke East,164.333,3.958
Adventure,Dannevirke West,165.308,4.172
Adventure,Delaney,50.093,2.238
Adventure,Discovery,4.653,0.585
Adventure,Eastbourne,49.051,2.236
Adventure,Ebdentown,56.942,1.855
Adventure,Eketahuna,176.919,3.968
Adventure,Elderslea,55.921,1.838
Adventure,Elsdon-Takapuwahia,9.489,1.019
Adventure,Emerald Hill,63.639,2.204
Adventure,Endeavour,7.177,0.981
Adventure,Epuni East,40.711,1.431
Adventure,Epuni West,40.23,1.323
Adventure,Esplanade,37.09,1.358
Adventure,Featherston,80.666,2.22
Adventure,Fernlea,46.697,1.774
Adventure,Glendale,51.898,1.756
Adventure,Glenside North,14.829,1.161
Adventure,Gracefield,38.315,1.793
Adventure,Greenacres,9.416,0.8
Adventure,Grenada North,13.352,1.087
Adventure,Grenada Village,17.596,1.682
Adventure,Greytown,98.582,2.596
Adventure,Happy Valley-Owhiro Bay,32.795,2.043
Adventure,Hataitai North,27.785,1.231
Adventure,Haywards-Manor Park,49.037,1.92
Adventure,Heretaunga,52.511,1.685
Adventure,Heretaunga-Silverstream,50.138,1.468
Adventure,Holborn,47.607,1.959
Adventure,Homebush-Te Ore Ore,121.789,5.176
Adventure,Homedale East,48.314,1.768
Adventure,Homedale West,52.76,1.722
Adventure,Horokiwi,40.225,8.113
Adventure,Hutt Central,39.807,1.404
Adventure,Island Bay East,31.742,1.735
Adventure,Island Bay West,31.722,1.732
Adventure,Johnsonville Central,19.078,1.363
Adventure,Johnsonville East,18.449,1.445
Adventure,Johnsonville North,18.546,1.444
Adventure,Kahutara,100.59,2.494
Adventure,Kaitawa,56.577,1.554
Adventure,Kaiwharawhara,30.348,1.252
Adventure,Kapiti Island,,
Adventure,Karaka Bay-Worser Bay,34.478,1.687
Adventure,Karori East,28.039,1.536
Adventure,Karori North,28.557,1.346
Adventure,Karori Park,30.104,1.311
Adventure,Karori South,31.903,1.712
Adventure,Kelburn,26.319,1.362
Adventure,Kelson,,
Adventure,Khandallah Park-Broadmeadows,54.592,2.972
Adventure,Kilbirnie East,29.805,1.332
Adventure,Kilbirnie West-Hataitai South,28.654,1.246
Adventure,Kingston-Mornington,30.294,2.098
Adventure,Kopuaranga,,
Adventure,Korokoro,35.735,1.577
Adventure,Lambton,24.271,1.03
Adventure,Lansdowne,116.621,3.303
Adventure,Linden,8.353,0.526
Adventure,Lyall Bay-Airport-Moa Point,31.442,1.617
Adventure,Maidstone,56.073,1.685
Adventure,Makara-Ohariu,42.786,2.42
Adventure,Mana Island,12.243,0.768
Adventure,Mana-Camborne,11.73,1.177
Adventure,Mangaroa,71.953,2.099
Adventure,Mangatainoka,161.205,3.832
Adventure,Manuka,53.624,2.734
Adventure,Maoribank,61.525,1.973
Adventure,Mara,,
Adventure,Martinborough,99.899,2.601
Adventure,Masterton Central,115.265,3.001
Adventure,Masterton East,211.997,4.71
Adventure,Masterton Railway,113.318,2.871
Adventure,Masterton West,113.286,2.865
Adventure,Maungakotukutuku,45.455,1.483
Adventure,Maungaraki,38.548,1.458
Adventure,Maupuia,35.384,1.869
Adventure,Melling,37.217,1.383
Adventure,Melrose-Houghton Bay-Southgate,31.939,1.965
Adventure,Miramar,32.874,1.497
Adventure,Miramar North,34.125,1.57
Adventure,Miramar South,31.702,1.427
Adventure,Miramar West,33.142,1.558
Adventure,Mitchelltown,27.488,1.47
Adventure,Moera,38.817,1.389
Adventure,Moonshine Valley,,
Adventure,Mt Cook-Wallace Street,26.646,1.229
Adventure,Mt Holdsworth,,
Adventure,Mt Victoria West,26.793,1.136
Adventure,Naenae North,44.828,1.872
Adventure,Naenae South,42.731,1.548
Adventure,Newlands East,34.619,1.993
Adventure,Newlands North,19.704,1.609
Adventure,Newlands South,32.097,1.905
Adventure,Newtown East,29.732,1.627
Adventure,Newtown West,28.812,1.513
Adventure,Ngaio South,29.475,1.689
Adventure,Ngaumutawa,113.505,2.917
Adventure,Ngauranga East,28.978,1.75
Adventure,Ngauranga West,29.388,1.863
Adventure,Nireaha-Tiraumea,189.294,4.162
Adventure,Normandale,40.359,1.567
Adventure,Norsewood-Herbertville,,
Adventure,Northland,28.087,1.376
Adventure,Northland North,29.085,1.549
Adventure,Onepoto,16.385,1.183
Adventure,Opaki-Fernridge,117.066,2.823
Adventure,Oriental Bay,27.056,1.204
Adventure,Otaihanga,45.14,1.858
Adventure,Otaki,57.259,1.599
Adventure,Otaki Forks,,
Adventure,Owahanga,,
Adventure,Paekakariki,31.217,1.092
Adventure,Paekakariki Hill,36.808,1.182
Adventure,Pahiatua,152.627,3.728
Adventure,Papakowhai North,4.923,0.504
Adventure,Papakowhai South,4.57,0.459
Adventure,Paparangi,19.416,1.672
Adventure,Paparangi West,18.98,1.518
Adventure,Papatawa,146.989,3.511
Adventure,Paraparaumu Beach North,45.61,1.538
Adventure,Paraparaumu Beach South,43.988,1.516
Adventure,Paraparaumu Central,41.447,1.446
Adventure,Paremata-Postgate,5.19,0.627
Adventure,Parkway,45.953,1.566
Adventure,Pauatahanui,22.774,0.911
Adventure,Peka Peka,50.085,1.735
Adventure,Pencarrow,53.869,1.745
Adventure,Petone Central,34.324,1.175
Adventure,Pinehaven,54.437,1.914
Adventure,Plimmerton,16.781,1.203
Adventure,Poets Block,58.217,1.878
Adventure,Porirua Central,7.688,0.909
Adventure,Porirua East,4.171,0.334
Adventure,Pukerua Bay,22.014,1.145
Adventure,Rangoon Heights,32.118,1.826
Adventure,Ranui Heights,5.466,0.596
Adventure,Raroa,19.723,1.504
Adventure,Raumati Beach,41.704,1.506
Adventure,Raumati South,45.318,1.717
Adventure,Resolution,21.405,1.299
Adventure,Riverstone Terraces,58.268,2.624
Adventure,Roseneath,30.403,1.418
Adventure,Seatoun,35.745,2.126
Adventure,Seatoun Tunnel West,32.74,1.651
Adventure,Solway North,112.213,2.881
Adventure,Solway South,113.819,3.201
Adventure,Strathmore Park,33.99,1.831
Adventure,Taita North,45.663,1.461
Adventure,Taita South,43.414,1.443
Adventure,Taitville,26.543,1.278
Adventure,Takapu,,
Adventure,Tawa Central,10.203,0.701
Adventure,Tawa South,13.222,1.241
Adventure,Tawhai,51.888,2.691
Adventure,Te Horo,55.882,1.818
Adventure,Te Kainga,31.201,1.719
Adventure,Te Marua,65.532,2.124
Adventure,Te Wharau,,
Adventure,Thorndon-Tinakori Road,23.836,0.927
