2013 area unit name,2013 area unit code
Whitianga,533000
Coromandel,533100
Te Rerenga,533200
Whangamata,533300
Tairua,533400
Moanataiari,533501
Parawai,533502
Pauanui Beach,533602
Hikuai,533603
Te Puru-Thornton Bay,533604
Islands-Thames-Coromandel District,619302
Kaiaua,521136
Ngatea,533800
Hauraki Plains,533901
Turua,533902
Kerepehi,533903
Ohinemuri,534200
Paeroa,534300
Waihi,534400
Redoubt,521114
Opuawhanga,521115
Buckland South,521117
Pokeno,521131
Mangatawhiri,521135
Otaua,521153
Pukeoware,526106
Tuakau,526200
Rotowaro,526400
Raglan,526500
Waikato Western Hills,526601
Te Uku,526602
Onewhero,526701
Te Akau,526702
Te Kauwhata,526900
Matangi,527004
Whitikahu,527111
Taupiri Community,527112
Gordonton,527122
Kainui,527123
Eureka,527125
Tamahere-Tauwhare,527131
Waerenga,527210
Maramarua,527221
Meremere,527222
Huntly West,527401
Huntly East,527402
Te Kowhai,527912
Whatawhata,527913
Horotiu,527916
Ngaruawahia,528200
Tahuroa,534500
Waitoa,534602
Springdale,534603
Waihou-Walton,534604
Te Aroha,534800
Morrinsville West,534901
Morrinsville East,534902
Waharoa,535000
Okauia,535220
Te Poi,535231
Hinuera,535242
Matamata North,535501
Matamata South,535502
Sylvester,527005
Flagstaff,527006
Horsham Downs,527007
Rototuna,527008
Huntington,527009
Newstead,527124
Peacocke,527810
Temple View,527820
Te Rapa North,527917
Bryant,528310
Pukete,528320
Pukete West,528402
Te Rapa,528403
Burbush,528405
Rotokauri,528406
Nawton,528501
Crawshaw,528503
Grandview,528504
Brymer,528505
Dinsdale North,528601
Dinsdale South,528602
Beerescourt,528700
Maeroa,528800
Frankton Junction,528900
Swarbrick,529000
Hamilton Lake,529100
Melville,529200
Glenview,529300
Queenwood,529401
Chedworth,529402
Porritt,529501
Insoll,529502
Fairview Downs,529503
Chartwell,529600
Hamilton Central,529700
Clarkin,529800
Claudelands,529900
Enderley,530000
Peachgrove,530100
Hamilton East,530200
Naylor,530300
Bader,530400
University,530500
Silverdale,530600
Hillcrest West,530700
Riverlea,530800
Te Pahu,526603
Hautapu,527133
Swayne,527134
Cambridge North,527501
Cambridge West,527502
Cambridge Central,527503
Leamington West,527504
Leamington East,527505
Ohaupo,527600
Kihikihi,527700
Ngahinapouri,527914
Lake Cameron,527915
Te Rore,527921
Pirongia,527922
Pokuru,527923
Lake Ngaroto,527924
Tokanui,527925
Pukerimu,527931
Kaipaki,527932
Rotoorangi,527934
Te Rahu,527935
Kihikihi Flat,527936
Allen Road,527937
Rotongata,528000
Te Awamutu West,531001
Te Awamutu Central,531002
Te Awamutu East,531003
Te Awamutu South,531004
Karapiro,535241
Kawhia Community,531100
Otorohanga,531200
Otorohanga Rural West,531301
Te Kawa,531303
Otorohanga Rural East,531304
Te Motu Island,618300
Tirau,535100
Mangakaretu,535211
Kinleith,535212
Tapapa,535232
Arapuni,535250
Lichfield,535261
Wawa,535262
Paraonui,535310
Parkdale,535320
Matarawa,535330
Stanley Park,535340
Tokoroa Central,535350
Aotea,535360
Strathmore,535370
Amisfield,535380
Putaruru,535600
Piopio,531500
Taharoa,531600
Mahoenui,531710
Marokopa,531720
Waipa Valley,531731
Tiroa,531732
Mokauiti,531800
Te Kuiti,532000
Omori,532200
Kuratau,532502
Mangakino,540900
Turangi,541000
Acacia Bay,541311
Wairakei-Aratiatia,541312
Maunganamu,541313
Taupo East,541315
Wharewaka,541316
Rangatira Park,541317
Rangatira,541318
Lakewood,541319
Marotiri,541320
Kinloch,541333
Tatua,541334
Oruanui,541335
Rangitaiki,541342
Broadlands,541344
Waitahanui,541345
Tongariro,541346
Motuoapa,541347
Tokaanu,541348
Rangipo,541501
Te More,541502
Taharua,541503
Nukuhau,541710
Taupo Central,541720
Tauhara,541730
Hilltop,541740
Waipahihi,541750
Richmond Heights,541760
Ngongotaha North,538601
Ngongotaha South,538602
Poets Corner,538721
Ngapuna,538722
Owhata South,538731
Lynmore,538732
Owhata West,538741
Owhata East,538742
Hamurana,538811
Tikitere,538820
Kaingaroa Forest,538831
Tarawera,538832
Golden Springs,538841
Reporoa,538842
Ngakuru,538850
Arahiwi,538861
Waiwhero,538863
Mamaku,538864
Selwyn Heights,539000
Western Heights,539100
Fairy Springs,539200
Pukehangi North,539310
Pukehangi South,539320
Mangakakahi,539400
Sunnybrook,539500
Fordlands,539600
Utuhina,539700
Pomare,539800
Hillcrest,539900
Springfield,540000
Kawaha Point,540100
Koutu,540200
Ohinemutu,540300
Kuirau,540410
Victoria,540420
Glenholme East,540510
Glenholme West,540520
Fenton,540600
Whaka,540700
