TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Eden Terrace,Apartment,5+,NA
Auckland,Eden Terrace,Apartment,Total,375.8888888889
Auckland,Eden Terrace,Flat,1,NA
Auckland,Eden Terrace,Flat,2,415.7142857143
Auckland,Eden Terrace,Flat,3,NA
Auckland,Eden Terrace,Flat,4,NA
Auckland,Eden Terrace,Flat,5+,NA
Auckland,Eden Terrace,Flat,Total,415.7142857143
Auckland,Eden Terrace,House,1,NA
Auckland,Eden Terrace,House,2,NA
Auckland,Eden Terrace,House,3,NA
Auckland,Eden Terrace,House,4,NA
Auckland,Eden Terrace,House,5+,NA
Auckland,Eden Terrace,House,Total,NA
Auckland,Eden Terrace,Total,1,300.3846153846
Auckland,Eden Terrace,Total,2,456.1904761905
Auckland,Eden Terrace,Total,3,NA
Auckland,Eden Terrace,Total,4,NA
Auckland,Eden Terrace,Total,5+,NA
Auckland,Eden Terrace,Total,Total,385.7142857143
Auckland,Ellerslie,Apartment,1,NA
Auckland,Ellerslie,Apartment,2,NA
Auckland,Ellerslie,Apartment,3,NA
Auckland,Ellerslie,Apartment,4,NA
Auckland,Ellerslie,Apartment,5+,NA
Auckland,Ellerslie,Apartment,Total,NA
Auckland,Ellerslie,Flat,1,NA
Auckland,Ellerslie,Flat,2,363.125
Auckland,Ellerslie,Flat,3,NA
Auckland,Ellerslie,Flat,4,NA
Auckland,Ellerslie,Flat,5+,NA
Auckland,Ellerslie,Flat,Total,375.4761904762
Auckland,Ellerslie,House,1,NA
Auckland,Ellerslie,House,2,NA
Auckland,Ellerslie,House,3,558.9473684211
Auckland,Ellerslie,House,4,NA
Auckland,Ellerslie,House,5+,NA
Auckland,Ellerslie,House,Total,532.2727272727
Auckland,Ellerslie,Total,1,NA
Auckland,Ellerslie,Total,2,366.1363636364
Auckland,Ellerslie,Total,3,557.8571428571
Auckland,Ellerslie,Total,4,630
Auckland,Ellerslie,Total,5+,NA
Auckland,Ellerslie,Total,Total,473.59375
Auckland,Epsom,Apartment,1,NA
Auckland,Epsom,Apartment,2,460.5555555556
Auckland,Epsom,Apartment,3,NA
Auckland,Epsom,Apartment,4,NA
Auckland,Epsom,Apartment,5+,NA
Auckland,Epsom,Apartment,Total,422.9166666667
Auckland,Epsom,Flat,1,327.5
Auckland,Epsom,Flat,2,434.7368421053
Auckland,Epsom,Flat,3,538.5714285714
Auckland,Epsom,Flat,4,NA
Auckland,Epsom,Flat,5+,NA
Auckland,Epsom,Flat,Total,414.1666666667
Auckland,Epsom,House,1,NA
Auckland,Epsom,House,2,592.1428571429
