area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
559700,Kiwitea,3,57,110,120
559700,Kiwitea,4,27,160,160
559700,Kiwitea,5,9,100,100
559700,Kiwitea,6+,3,,
559700,Kiwitea,Not Elsewhere Included,0,,
559700,Kiwitea,Total,108,130,270
560000,Pohangina,1,3,,
560000,Pohangina,2,3,,
560000,Pohangina,3,24,110,130
560000,Pohangina,4,15,200,190
560000,Pohangina,5,6,,
560000,Pohangina,6+,0,,
560000,Pohangina,Not Elsewhere Included,0,,
560000,Pohangina,Total,51,140,150
560200,Ashhurst,1,15,100,110
560200,Ashhurst,2,33,200,190
560200,Ashhurst,3,102,240,240
560200,Ashhurst,4,42,290,280
560200,Ashhurst,5,3,,
560200,Ashhurst,6+,0,,
560200,Ashhurst,Not Elsewhere Included,3,,
560200,Ashhurst,Total,204,250,230
560301,Stonereek,1,3,,
560301,Stonereek,2,3,,
560301,Stonereek,3,27,200,200
560301,Stonereek,4,9,210,210
560301,Stonereek,5,3,,
560301,Stonereek,6+,0,,
560301,Stonereek,Not Elsewhere Included,0,,
560301,Stonereek,Total,45,200,190
560302,Whakarongo,1,6,,
560302,Whakarongo,2,9,170,170
560302,Whakarongo,3,21,200,220
560302,Whakarongo,4,6,370,340
560302,Whakarongo,5,3,,
560302,Whakarongo,6+,3,,
560302,Whakarongo,Not Elsewhere Included,0,,
560302,Whakarongo,Total,48,200,210
560411,Oroua Bridge,1,,,
560411,Oroua Bridge,2,,,
560411,Oroua Bridge,3,,,
560411,Oroua Bridge,4,,,
560411,Oroua Bridge,5,,,
560411,Oroua Bridge,6+,,,
560411,Oroua Bridge,Not Elsewhere Included,,,
560411,Oroua Bridge,Total,6,210,230
560412,Maewa,1,9,140,140
560412,Maewa,2,3,,
560412,Maewa,3,9,220,220
560412,Maewa,4,6,0,0
560412,Maewa,5,3,,
560412,Maewa,6+,0,,
560412,Maewa,Not Elsewhere Included,0,,
560412,Maewa,Total,30,230,230
560421,Halcombe,1,3,,
560421,Halcombe,2,3,,
560421,Halcombe,3,12,110,120
560421,Halcombe,4,9,130,130
560421,Halcombe,5,0,,
560421,Halcombe,6+,0,,
560421,Halcombe,Not Elsewhere Included,0,,
