area unit number,area unit name, number of bedrooms in dwelling,count,median rent paid,mean rent paid
564530,Pinehaven,5,6,,
564530,Pinehaven,6+,0,,
564530,Pinehaven,Not Elsewhere Included,0,,
564530,Pinehaven,Total,126,290,290
564601,Moonshine Valley,1,,,
564601,Moonshine Valley,2,,,
564601,Moonshine Valley,3,,,
564601,Moonshine Valley,4,,,
564601,Moonshine Valley,5,,,
564601,Moonshine Valley,6+,,,
564601,Moonshine Valley,Not Elsewhere Included,,,
564601,Moonshine Valley,Total,9,300,340
564602,Riverstone Terraces,1,0,,
564602,Riverstone Terraces,2,3,,
564602,Riverstone Terraces,3,30,440,440
564602,Riverstone Terraces,4,21,470,460
564602,Riverstone Terraces,5,3,,
564602,Riverstone Terraces,6+,0,,
564602,Riverstone Terraces,Not Elsewhere Included,0,,
564602,Riverstone Terraces,Total,57,450,450
564800,Glendale,1,3,,
564800,Glendale,2,18,240,220
564800,Glendale,3,213,280,250
564800,Glendale,4,54,330,320
564800,Glendale,5,9,380,370
564800,Glendale,6+,0,,
564800,Glendale,Not Elsewhere Included,0,,
564800,Glendale,Total,297,290,270
564900,Parkway,1,6,,
564900,Parkway,2,54,230,230
564900,Parkway,3,150,300,290
564900,Parkway,4,24,300,300
564900,Parkway,5,6,,
564900,Parkway,6+,3,,
564900,Parkway,Not Elsewhere Included,0,,
564900,Parkway,Total,243,280,270
565000,Fernlea,1,9,190,160
565000,Fernlea,2,45,230,230
565000,Fernlea,3,72,300,280
565000,Fernlea,4,24,330,320
565000,Fernlea,5,6,,
565000,Fernlea,6+,3,,
565000,Fernlea,Not Elsewhere Included,0,,
565000,Fernlea,Total,153,280,270
565100,Arakura,1,15,140,140
565100,Arakura,2,72,210,200
565100,Arakura,3,138,290,280
565100,Arakura,4,30,330,320
565100,Arakura,5,3,,
565100,Arakura,6+,0,,
565100,Arakura,Not Elsewhere Included,0,,
565100,Arakura,Total,258,270,250
565200,Homedale West,1,21,160,150
