2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit,fare zone
Leigh,174.80376,-36.29295,C
Long Bay,174.73061,-36.68093,B
Lucken Point,174.63772,-36.81511,B
Lynfield North,174.72361,-36.91769,A
Lynfield South,174.71885,-36.92918,A
Lynnmall,174.68547,-36.90886,A
Mahurangi,174.74329,-36.46182,C
Mairangi Bay,174.74754,-36.74104,B
Mangere Bridge,174.78718,-36.94817,B
Mangere Central,174.79726,-36.97246,B
Mangere East,174.83434,-36.96681,B
Mangere South,174.78129,-36.98807,B
Mangere Station,174.82799,-36.95036,B
Manly,174.75941,-36.63042,B
Manukau Central,174.84743,-37.00512,B
Manurewa Central,174.89029,-37.01888,B
Manurewa East,174.90611,-37.02585,B
Mascot,174.80678,-36.9713,B
Massey Park,174.95418,-37.0627,B
Massey West,174.59501,-36.82978,C
Matakana,174.71365,-36.35164,C
Matheson Bay,174.79732,-36.29882,C
Matipo,174.64526,-36.83541,B
Maungawhau,174.75153,-36.89052,A
McLaren Park,174.61943,-36.8984,B
Mcleod,174.64851,-36.87666,B
Meadowbank North,174.82894,-36.87112,A
Meadowbank South,174.83021,-36.88085,A
Meadowland,174.93429,-36.91348,B
Mellons Bay,174.93259,-36.89044,B
Middlemore,174.84306,-36.96041,B
Mill Road,174.92524,-37.00739,B
Millhouse,174.91956,-36.92004,B
Mission Bay,174.8344,-36.85789,A
Mission Heights,174.93279,-36.95827,C
Monarch Park,174.73037,-36.79814,B
Mt Albert Central,174.72182,-36.88118,A
Mt Eden East,174.76047,-36.88517,A
Mt Eden North,174.76118,-36.87034,A
Mt Eden South,174.75175,-36.89583,A
Mt Hobson,174.78453,-36.87816,A
Mt St John,174.78276,-36.88509,A
Mt Victoria,174.80129,-36.82633,B
Mt Wellington Domain,174.84948,-36.88886,A
Mt Wellington North,174.84029,-36.9017,A
Mt Wellington South,174.84254,-36.92295,A
Mt Wellington West,174.83096,-36.89358,A
Muriwai Beach,174.42924,-36.82522,C
Muriwai Valley,174.46001,-36.82945,C
Murrays Bay,174.74593,-36.73145,B
Murvale,174.91319,-36.88978,B
Narrow Neck,174.79664,-36.81603,B
New Lynn North,174.67521,-36.90327,B
New Lynn South,174.67168,-36.90794,B
New Windsor,174.71375,-36.90564,A
Newmarket,174.77548,-36.86622,A
Newton,174.75829,-36.86039,A
North Harbour East,174.70711,-36.74482,B
North Harbour West,174.68815,-36.74542,B
Northcote South,174.74294,-36.81357,B
Northcross,174.71994,-36.71885,B
Oaktree,174.72999,-36.72059,B
Ocean View,174.73988,-36.79805,B
Omaha,174.78358,-36.34627,C
One Tree Hill Central,174.78202,-36.89862,A
One Tree Hill East,174.79753,-36.90007,A
Onehunga North East,174.78948,-36.90962,A
Onehunga North West,174.7786,-36.91288,A
Onehunga South East,174.78728,-36.92368,A
Onehunga South West,174.77506,-36.92202,A
Opaheke,174.94798,-37.07685,B
Opanuku,174.57479,-36.90555,B
Orakei North,174.81917,-36.85494,A
Orakei South,174.80775,-36.86944,A
Oranga,174.79889,-36.91145,A
Oratia,174.62916,-36.91352,B
Oratia West,174.62038,-36.90816,B
Orewa,174.68711,-36.58632,B
Orewa West,174.67609,-36.57577,B
Ormiston,174.92749,-36.97393,C
Otahuhu East,174.8577,-36.93627,A
Otahuhu North,174.84817,-36.93869,A
Otahuhu West,174.83932,-36.94708,B
Otara East,174.88492,-36.95579,B
Otara North,174.87563,-36.95542,B
Otara South,174.87753,-36.97009,B
Otara West,174.86589,-36.95415,B
Otimai,174.60646,-36.93125,B
Owairaka East,174.71862,-36.8914,A
Owairaka West,174.7118,-36.8956,A
Paerata-Cape Hill,174.91584,-37.18173,C
Pahurehure,174.93272,-37.06863,B
Pakuranga Central,174.87842,-36.9155,B
Pakuranga East,174.88826,-36.91506,B
Pakuranga North,174.88753,-36.89784,B
Palm Heights,174.61074,-36.89383,B
Panmure Basin,174.85279,-36.90423,A
Papakura Central,174.94478,-37.06724,B
Papakura East,174.96555,-37.05958,B
Papakura North,174.93741,-37.05927,B
Papakura North East,174.95081,-37.05517,B
Papakura South,174.96239,-37.07233,C
Paparata,175.10581,-37.1683,C
Papatoetoe Central,174.86124,-36.9777,B
Papatoetoe East,174.87308,-36.97355,B
Papatoetoe North,174.85107,-36.97169,B
Papatoetoe West,174.84754,-36.98703,B
Parakai Rural,174.4112,-36.67268,C
Parakai Urban,174.43464,-36.65643,C
Paremoremo East,174.66096,-36.7466,B
Paremoremo West,174.61793,-36.75632,B
Parnell East,174.78823,-36.85982,A
Parnell West,174.78002,-36.85569,A
Parrs Park,174.63173,-36.90491,B
Parrs Park West,174.62724,-36.89965,B
Patumahoe,174.82763,-37.20232,C
Penrose,174.81581,-36.91897,A
Pigeon Mountain North,174.90435,-36.8911,B
Pigeon Mountain South,174.89649,-36.90007,B
Pinehill,174.72364,-36.73135,B
Point Chevalier East,174.71021,-36.8631,A
Point Chevalier South,174.71309,-36.87439,A
Point Chevalier West,174.70257,-36.8663,A
Point England,174.8653,-36.88388,A
Point View,174.9257,-36.94302,B
Point Wells,174.75644,-36.32387,C
Ponsonby East,174.74168,-36.85147,A
Ponsonby West,174.73381,-36.85014,A
Puhinui North,174.86383,-36.98369,B
Puhinui South,174.87009,-36.98747,B
Pukekohe North,174.90779,-37.19146,C
Pukekohe West,174.89189,-37.21091,C
Randwick Park,174.9159,-37.02192,B
Ranui Domain,174.60495,-36.86525,B
Ranui South,174.59575,-36.87105,B
Red Beach East,174.70503,-36.60604,B
Red Beach West,174.69172,-36.60717,B
Red Hill,174.97544,-37.06751,C
Redoubt East,174.943,-36.99212,C
Redoubt North,174.89266,-36.98597,B
Redoubt South,174.90424,-36.99662,B
Remuera South,174.79669,-36.88454,A
Remuera West,174.78554,-36.86924,A
Rewarewa,174.68286,-36.92032,B
