2013 area unit code,2013 area unit name
513410,Whenuapai West
506652,Rewiti
513702,Waitakere
508805,Windsor Park
525620,Massey Park
522603,Bleakhouse
505806,Silverdale Central
505605,Kumeu West
513420,Herald
505300,Wellsford
520301,Mt Wellington Domain
523501,Otara North
525510,Papakura South
521201,Hingaia
523107,Burswood
514200,Newton
515003,Point Chevalier South
526105,South Waiuku
515500,Arch Hill
505602,Huapai
506642,South Head
513622,Birdwood East
505604,Kumeu East
516001,Mt Hobson
505804,Hatfields Beach
523813,Ardmore
512904,Parrs Park
522721,Pigeon Mountain South
513511,Westgate
505603,Riverhead Urban
513101,Swanson
523403,Wymondley
513102,Swanson South
506654,Muriwai Beach
506003,Silverdale South
521111,Paerata-Cape Hill
514302,Grafton East
513431,Hobsonville East
506645,Parakai Urban
525202,Kawakawa-Orere
505601,Waimauku
505700,Waipareira West
508900,Long Bay
521000,Great Barrier Island
513701,Taupaki
506002,Stillwater
523819,Mill Road
523818,Redoubt East
515432,St Lukes North
521160,Bombay
506201,Silverdale North
506400,Paremoremo West
506655,Muriwai Valley
519500,Penrose
506633,Algies Bay
523404,Grange
524604,Manukau Central
506658,Omaha
506656,Waitakere West
521112,Eden Road-Hill Top
506644,Parakai Rural
506648,Helensville South
521116,Buckland
521202,Whangapouri Creek
513621,Birdwood West
521302,Runciman
512802,Armour Bay
506001,Weiti River
506647,Kaukapakapa
505400,Leigh
506657,Point Wells
521203,Bremner
506634,Mahurangi
513610,Massey West
506659,Matakana
505803,Waiwera
521134,Paparata
512905,Oratia West
524402,Mangere Station
506616,Matheson Bay
521902,Middlemore
506202,Orewa West
506620,Kawau
520900,Islands-Motutapu Rangitoto Rakino
616001,Kaikoura and Rangiahua Islands
523112,Highbrook
