2013 area unit name,2013 area unit code
Auckland Central West,514102
Auckland Central East,514103
Pukekohe North,525910
Orewa,505805
Greenhithe,509100
Waiheke Island,520801
Wattle Farm,525102
Hillsborough West,518701
Mangere South,524200
Glen Eden East,511100
Sturges North,513220
Pukekohe West,525921
Beachlands-Maraetai,523300
Baverstock Oaks,523115
Donegal Park,523712
Sunnynook,508520
Target Road,508420
Meadowbank North,516301
Manly,505902
Ellerslie North,520201
Redoubt South,523820
New Windsor,514500
Howick Central,521602
Glenavon,514402
Mcleod,512500
Kingseat,521122
Royal Heights,513530
Homai East,524720
Blockhouse Bay,514700
Kohuora,524303
Glen Innes North,516900
Papakura East,525610
Totara Heights,523814
Mangere East,524301
Mangere Bridge,524002
Papatoetoe West,522100
Henderson North,510700
Hauraki,508020
One Tree Hill East,519400
Waimumu North,513631
Forrest Hill,508510
Lynfield North,518901
Papatoetoe North,522201
Mt Albert Central,517800
Royal Oak,518600
Mt Wellington South,520500
Akarana,518803
Papatoetoe East,522302
Glendhu,508411
Orakei North,516400
Mission Bay,516500
Avondale South,514600
Balmoral,518201
Beachhaven North,510010
Rothesay Bay,507200
Three Kings,518500
Aorere,524302
Unsworth Heights,508803
Mairangi Bay,507400
Mt Victoria,509400
Leabank,525101
Roberton,514401
Point View,523114
Hamlin,520402
Westlake,507900
Lucken Point,513522
Hillpark,524901
North Harbour West,508806
Lake Pupuke,507800
Pakuranga East,523000
Meadowbank South,516302
Ormiston,523713
Westmere,515100
Bucklands and Eastern Beaches,522601
Harania East,524530
Weymouth East,524812
Howick South,523101
Millhouse,523106
Clendon South,524822
West Harbour,513521
Otahuhu West,521901
Te Atatu Central,512300
Torbay,506903
Harania West,524520
Monarch Park,508610
Redoubt North,523722
Avondale West,514802
Sandringham West,517702
Mt Eden South,518302
St Heliers,516700
Glenfield Central,508310
Papatoetoe Central,522202
Parnell West,515902
Mt St John,519200
Cockle Bay,521502
Fairdene,513302
Murrays Bay,507300
Beachhaven South,510020
St Lukes,517600
Henderson South,510800
Kingsland,517500
Takanini West,523920
Greenmount,523113
Oaktree,507102
Woodglen,511002
Ferndale,520401
Takanini South,523912
Tauhoa-Puhoi,506613
Kaipatiki,508210
Waikowhai East,519002
Rosebank,514801
Durham Green,512202
Point Chevalier East,515002
Northcross,508704
Auckland Harbourside,514101
Ocean View,509701
Tamaki,520601
Puhinui North,522400
Fruitvale,511401
Kelston Central,511700
Manurewa Central,525001
Rongomai,523711
Glen Innes West,517001
Glendene North,511601
Pakuranga North,522810
Otara East,523502
Tuff Crater,509702
Rewarewa,511402
Edgewater,522920
Waiake,507000
Meadowland,523102
Abbotts Park,516003
Glenfield North,508320
Glendowie,516800
Point England,517100
Owairaka East,517903
Hillsborough East,518702
Northcote South,509800
Waiata,516202
Browns Bay,507101
Hunua,521132
Lynfield South,518902
Papakura North East,525630
Highland Park,522722
Weymouth West,524811
Clover Park,523721
Birkdale South,510220
Birkenhead East,510500
Green Bay,512100
Oranga,519900
Ferguson,523602
Murvale,522712
Waimumu South,513632
Viscount,524122
Army Bay,505904
Sunnyvale,511800
Wiri,524602
Pinehill,508804
Waitaramoa,516102
Maungawhau,518301
Walmsley,518801
Warkworth,505500
Remuera South,516002
Crum Park,511902
Kauri Park,510401
Wakeling,512402
Dannemora,523109
Onehunga South West,519810
Chelsea,510402
Red Beach East,505808
Mascot,524112
Tahekeroa,506614
Kingdale,513301
Epsom Central,515801
North Harbour East,508807
Onehunga North West,519710
Freemans Bay,514000
Kohimarama East,516602
Narrow Neck,509300
Half Moon Bay,522730
Dingwall,522301
Takanini North,523911
Epsom South,515802
Point Chevalier West,515001
Windy Ridge,508220
Awaruku,506901
Epsom North,515700
Harania North,524510
Onehunga North East,519720
Waikowhai West,519001
Snells Beach,506631
Fairburn,521802
Pakuranga Central,522910
Onehunga South East,519820
Randwick Park,523816
Drury,521301
Crown Hill,507720
Waiuku East,526104
Konini,512600
Seacliffe,508110
Titirangi South,512000
Edmonton,512401
Grey Lynn West,515410
Orakei South,516201
Oratia,512906
Grafton West,514301
Te Papapa,520000
Burbank,524711
Remuera West,516101
Sunnyhills,522820
Kohimarama West,516601
Waterview,514900
Ponsonby East,515302
Ambury,524001
Glamorgan,506902
Otara South,523601
Pigeon Mountain North,522711
Favona South,524405
Sandringham East,517703
Grey Lynn East,515420
Wade Heads,505909
Mt Eden North,518101
Mellons Bay,521501
Sandringham North,517701
Mt Wellington North,520303
Riverhead,506653
Sunnybrae,508620
Rosehill,525530
Kaurilands,511901
Takapuna Central,508010
Tangutu,511001
Witheford,508412
Rowandale,524713
Waiuku West,526103
Ranui Domain,513213
Albany,508701
Pahurehure,525540
Ranui South,513214
Matipo,512201
Birkdale North,510210
Otara West,523402
Castor Bay,507710
Otimai,512902
Elsmore Park,522723
Newmarket,517400
Mt Wellington West,520302
Otahuhu North,521801
McLaren Park,513013
Bledisloe Park,525922
Cape Rodney,506660
Fairview,508703
St Marys,515202
Mangere Central,524111
Puhinui South,524603
