origin (2013 area unit name),destination,distance (kilometers),time (hours)
Addington,Addington,0.0,0.0
Addington,Aidanfield,,
Addington,Akaroa,69.354,3.991388888888889
Addington,Akaroa Harbour,71.039,4.355277777777777
Addington,Allenton East,87.704,2.276111111111111
Addington,Allenton West,87.201,2.1752777777777776
Addington,Amberley,48.306,1.7591666666666668
Addington,Amuri,118.894,2.3275
Addington,Aorangi,9.363,1.4566666666666668
Addington,Aranui,,
Addington,Ardgowan,248.616,4.623055555555555
Addington,Ashburton Central East,85.521,1.8130555555555556
Addington,Ashburton Central West,85.903,1.9066666666666667
Addington,Ashburton East,87.584,1.8066666666666666
Addington,Ashburton North,88.802,1.8386111111111112
Addington,Ashley,41.347,1.6947222222222222
Addington,Ashley Gorge,,
Addington,Aviemore,274.601,6.374444444444444
Addington,Avon Loop,3.546,0.7377777777777778
Addington,Avondale,,
Addington,Avonhead,8.715,1.0455555555555556
Addington,Avonhead West,,
Addington,Avonside,,
Addington,Banks Peninsula Eastern Bays,71.66,3.8841666666666668
Addington,Barrington North,1.762,0.37
Addington,Barrington South,3.349,0.6830555555555555
Addington,Beckenham,3.435,0.7036111111111111
Addington,Belfast,14.02,1.698888888888889
Addington,Belfast South,12.554,1.4041666666666666
Addington,Ben Mcleod,,
Addington,Bexley,,
Addington,Bishopdale,,
Addington,Bishopdale North,12.53,1.2080555555555557
Addington,Bromley,,
Addington,Broomfield,,
Addington,Bryndwr,,
Addington,Burnham Military Camp,30.522,1.2327777777777778
Addington,Burnside,,
Addington,Burwood,,
Addington,Camside,24.175,1.3672222222222221
Addington,Cape Wanbrow,247.702,4.611944444444444
Addington,Casebrook,9.047,1.3911111111111112
Addington,Cashmere East,,
Addington,Cashmere West,,
Addington,Cathedral Square,2.271,0.4736111111111111
Addington,Chertsey,,
Addington,Cheviot,105.825,9.118055555555555
Addington,Clarkville,19.565,1.301111111111111
Addington,Coldstream,32.695,1.87
Addington,Courtenay,22.701,1.6744444444444444
Addington,Culverden,93.561,2.616111111111111
Addington,Cust,,
Addington,Dallington,,
Addington,Darfield,,
Addington,Deans Bush,3.845,0.7916666666666666
Addington,Diamond Harbour,,
Addington,Dunsandel,40.501,1.103888888888889
Addington,Duntroon,,
Addington,Edgeware,,
Addington,Ensors,4.322,0.9041666666666667
Addington,Eyrewell,,
Addington,Fairlie,166.215,3.9755555555555557
Addington,Fairton,90.986,1.9016666666666666
Addington,Fairview-Scarborough,165.497,2.9902777777777776
Addington,Fendalton,,
Addington,Fernside,,
Addington,Ferrymead,,
Addington,Fraser Park,162.189,2.9297222222222223
Addington,Geraldine,132.344,2.9763888888888888
Addington,Gleniti,162.02,2.812222222222222
Addington,Glenwood,161.147,2.7952777777777778
Addington,Governors Bay,,
Addington,Hagley Park,2.21,0.4577777777777778
Addington,Halswell Domain,,
Addington,Halswell South,12.046,2.0630555555555556
Addington,Halswell West,,
Addington,Hampden,276.06,5.083055555555555
Addington,Hampstead,86.344,1.9822222222222223
Addington,Hanmer Springs,121.884,2.641111111111111
Addington,Harewood,,
Addington,Hawthornden,,
Addington,Heathcote Valley,,
Addington,Hendersons Basin,,
Addington,Highfield,160.76,2.787777777777778
Addington,Highfield Park,12.109,1.2241666666666666
Addington,Hillmorton,3.627,0.7530555555555556
Addington,Hinds,114.297,2.2508333333333335
Addington,Holmwood,3.634,0.7561111111111111
Addington,Hoon Hay,3.085,0.6327777777777778
Addington,Hoon Hay South,4.043,0.8247222222222222
Addington,Hornby North,13.425,1.5122222222222221
Addington,Hornby South,13.66,1.5691666666666666
Addington,Hurunui,,
Addington,Ilam,9.679,1.4913888888888889
Addington,Islington,12.359,1.1030555555555555
Addington,Jellie Park,,
Addington,Kaiapoi East,21.787,1.485
Addington,Kaiapoi North East,22.791,1.6894444444444445
Addington,Kaiapoi North West,22.77,1.6822222222222223
Addington,Kaiapoi South,21.93,1.5119444444444445
Addington,Kaiapoi West,22.863,1.698888888888889
Addington,Kaikoura Rural,,
Addington,Kaikoura Township,163.502,10.126111111111111
Addington,Kakanui,263.878,5.06
Addington,Kennedys Bush,,
Addington,Kingsbury,35.873,1.6125
Addington,Kirwee,,
Addington,Kurow,,
Addington,Lake Tekapo,196.661,4.635833333333333
Addington,Lake Tennyson,,
Addington,Leeston,,
Addington,Lehmans,36.812,1.6244444444444444
Addington,Leithfield,,
Addington,Levels,,
Addington,Lincoln,27.507,1.0238888888888888
Addington,Linwood,4.453,0.9347222222222222
Addington,Linwood East,,
Addington,Linwood North,,
Addington,Little River,46.799,2.7177777777777776
Addington,Loburn,,
Addington,Lyttelton,,
Addington,Mackenzie,201.595,4.528611111111111
Addington,Maheno,268.853,5.170277777777778
Addington,Mairaki,,
Addington,Mairehau,7.496,1.4522222222222223
Addington,Mairehau North,,
Addington,Malvern,,
Addington,Mandeville,,
Addington,Mansfield,22.942,1.7294444444444443
Addington,Maori Park,161.509,3.1819444444444445
Addington,Marchwiel,158.628,2.731388888888889
Addington,Mcleans Island,27.705,1.5858333333333334
Addington,Merivale,3.894,0.8047222222222222
Addington,Merrin,,
Addington,Methven,,
Addington,Middleton,3.464,0.7088888888888889
Addington,Mona Vale,3.206,0.6627777777777778
Addington,Moncks Bay,,
Addington,Mt Cook,237.476,6.419444444444444
Addington,Mt Pleasant,,
Addington,Mt Somers,,
Addington,Nenthorn,,
Addington,Netherby,87.061,2.1325
Addington,New Brighton,,
Addington,North Beach,,
Addington,Northcote,8.391,1.2569444444444444
Addington,Oaklands East,,
Addington,Oaklands West,,
Addington,Oamaru Central,245.66,4.777777777777778
Addington,Oamaru North,247.741,4.601666666666667
Addington,Oamaru South,246.841,5.046666666666667
Addington,Ohoka,24.661,1.3688888888888888
Addington,Okuku,,
Addington,Omarama,268.451,6.336944444444445
Addington,Opawa,4.728,0.9802777777777778
Addington,Orana Park,246.011,4.836388888888889
Addington,Orari,140.442,2.439722222222222
Addington,Otematata,,
Addington,Otipua Creek-Washdyke Flat,160.719,2.778611111111111
Addington,Oxford,,
Addington,Palmerston,297.012,5.481944444444444
Addington,Papanui,8.494,1.2775
Addington,Paparua,20.329,1.5452777777777778
Addington,Pareora,171.882,3.7111111111111112
Addington,Parklands,,
Addington,Parkside,161.152,3.1058333333333334
Addington,Parnassus,116.042,9.169722222222223
Addington,Pegasus,30.99,1.4958333333333333
Addington,Phillipstown,3.996,0.8377777777777777
Addington,Pines-Kairaki Beach,24.556,1.368611111111111
Addington,Plains Railway,89.771,2.165
Addington,Pleasant Point,,
Addington,Port Levy,,
Addington,Prebbleton,21.817,1.593888888888889
Addington,Prestons,15.809,1.2580555555555555
Addington,Pukeuri,253.171,4.720833333333333
Addington,Quail Island,,
Addington,Rakaia,58.81,1.6419444444444444
Addington,Rangiora Central,34.952,1.5716666666666668
Addington,Rangiora East,32.969,1.531388888888889
Addington,Rangiora North,34.693,1.5558333333333334
Addington,Rangiora West,35.623,1.5975
Addington,Rapaki Track,,
Addington,Ravenswood,28.624,1.6872222222222222
Addington,Rawhiti,,
Addington,Redruth,163.902,2.960277777777778
Addington,Redwood North,10.684,1.4275
Addington,Redwood South,9.712,1.3244444444444445
Addington,Riccarton,2.35,0.48333333333333334
Addington,Riccarton South,2.226,0.45555555555555555
Addington,Riccarton West,3.38,0.6955555555555556
Addington,Richmond North,,
Addington,Richmond South,4.969,0.9966666666666667
Addington,Rolleston Central,24.973,1.2322222222222223
Addington,Rolleston North East,24.433,1.126111111111111
Addington,Rolleston North West,25.45,1.3294444444444444
Addington,Rolleston South East,28.106,1.6411111111111112
Addington,Rolleston South West,26.578,0.9952777777777778
Addington,Russley,,
Addington,Rutland,7.058,1.2677777777777777
Addington,Sawyers Arms,18.014,1.3047222222222221
Addington,Seaview,160.518,2.973333333333333
Addington,Sefton,37.008,1.5702777777777779
Addington,Selwyn-Rakaia,50.144,1.3416666666666666
Addington,Shirley East,,
Addington,Shirley West,,
Addington,Silverstream,,
Addington,Sockburn,9.634,1.4930555555555556
Addington,Somerfield,2.143,0.44055555555555553
Addington,South Brighton,,
Addington,Southbridge,,
