2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Rangiora East,172.60782,-43.3091
Rangiora North,172.59606,-43.2987
Rangiora West,172.58422,-43.31133
Rapaki Track,172.6746,-43.57751
Ravenswood,172.6642,-43.30982
Rawhiti,172.71682,-43.50113
Redruth,171.25366,-44.41957
Redwood North,172.62398,-43.47115
Redwood South,172.62246,-43.48824
Riccarton,172.60416,-43.53313
Riccarton South,172.60776,-43.54037
Riccarton West,172.59139,-43.53416
Richmond North,172.65854,-43.51308
Richmond South,172.65637,-43.5214
Rolleston Central,172.3757,-43.6005
Rolleston North East,172.38803,-43.59343
Rolleston North West,172.36341,-43.60086
Rolleston South East,172.3984,-43.60911
Rolleston South West,172.37388,-43.60961
Russley,172.56147,-43.49452
Rutland,172.62725,-43.50451
Sawyers Arms,172.58793,-43.46444
Seaview,171.25012,-44.39511
Sefton,172.69114,-43.25176
Selwyn-Rakaia,172.15731,-43.72804
Shirley East,172.66259,-43.50115
Shirley West,172.6481,-43.4997
Silverstream,172.63725,-43.37879
Sockburn,172.558,-43.53468
Somerfield,172.62949,-43.55925
South Brighton,172.74197,-43.53968
Southbridge,172.25145,-43.81069
Southbrook,172.59714,-43.32892
Spreydon,172.62027,-43.55161
Springston,172.43152,-43.67675
St Albans East,172.63745,-43.51369
St Albans West,172.62868,-43.51531
St Andrews,171.18742,-44.52955
St Martins,172.65307,-43.56249
Strowan,172.60929,-43.50809
Styx,172.68408,-43.43262
Styx Mill,172.61196,-43.47494
Sumner,172.77192,-43.58579
Sydenham,172.63846,-43.54836
Taitapu,172.54652,-43.66557
Templeton,172.46964,-43.5526
Temuka,171.28647,-44.24401
Timaru Gardens,171.25146,-44.41207
Tinwald,171.72365,-43.91937
Travis,172.69238,-43.49698
Travis Wetland,172.68697,-43.48259
Trents-Ladbrooks,172.50778,-43.59052
Tuahiwi,172.63299,-43.33984
Twizel Community,170.07968,-44.26633
Upper Riccarton,172.57537,-43.52846
Waiau,173.04405,-42.65574
Waihao,170.7586,-44.60917
Waihemo,170.53205,-45.36537
Waikuku,172.71299,-43.28567
Waimairi Beach,172.71288,-43.47968
Waimataitai,171.24184,-44.38005
Waimate,171.04465,-44.73574
Wainoni,172.68983,-43.51844
Wairarapa,172.57732,-43.50469
Waltham,172.65069,-43.54497
Washdyke,171.2455,-44.36127
Watlington,171.23202,-44.40625
West Eyreton,172.40817,-43.34816
West Melton,172.43859,-43.57427
Westburn,172.56947,-43.51317
Westhaven,172.67277,-43.49319
Westmorland,172.60497,-43.58258
Weston,170.92199,-45.08211
Wharenui,172.5805,-43.53501
Wigram,172.55286,-43.5525
Winchester,171.27916,-44.18965
Woodend,172.66924,-43.3212
Woodend Beach,172.68847,-43.34388
Woodend West,172.657,-43.32317
Woolston South,172.68099,-43.55477
Woolston West,172.67526,-43.54093
Yaldhurst,172.52613,-43.49771
