2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Burnham Military Camp,172.30297,-43.61514
Burnside,172.56954,-43.50226
Burswood,174.89762,-36.92368
Burwood,172.67485,-43.50279
Bush Road,170.34027,-45.87259
Bushy Point,168.29275,-46.45024
Caledonian,170.49948,-45.89075
Camberley,176.82076,-39.62741
Cambridge Central,175.47753,-37.89097
Cambridge North,175.47595,-37.88203
Cambridge West,175.45827,-37.88731
Campbells Bay,174.75589,-36.74966
Camside,172.69197,-43.37485
Cannons Creek East,174.87147,-41.13669
Cannons Creek North,174.86279,-41.13977
Cannons Creek South,174.86619,-41.14993
Cape Rodney,174.5854,-36.26203
Cape Rodney South,174.70278,-36.34645
Cape Runaway,177.7904,-37.85724
Cape Wanbrow,170.94759,-45.11851
Carrington,174.07068,-39.09728
Carterton,175.51953,-41.02818
Casebrook,172.60173,-43.48611
Cashmere East,172.64736,-43.58589
Cashmere West,172.62781,-43.58935
Castlecliff North,174.97789,-39.93071
Castlecliff South,174.99162,-39.94303
Castor Bay,174.76232,-36.75799
Cathedral Square,172.6372,-43.53478
Caversham,170.4792,-45.89524
Central Gore,168.94203,-46.10171
Centre Island,167.84515,-46.4559
Charleston,171.4806,-42.02333
Charlton,168.89415,-46.14348
Chartwell,175.27054,-37.76494
Chatham Islands,-176.5268,-43.93628
Chatton,168.90804,-45.99456
Chedworth,175.28203,-37.75118
Chelsea,174.71129,-36.81806
Chertsey,171.93794,-43.85769
Cheviot,173.26672,-42.81372
Churton Park North,174.80532,-41.19634
Churton Park South,174.80632,-41.2109
Clarkin,175.28007,-37.76624
Clarkville,172.62231,-43.40489
Claudelands,175.28506,-37.77718
Clendon North,174.86004,-37.0244
Clendon South,174.86184,-37.03232
Clevedon,175.06727,-36.99268
Clifton,173.33392,-41.22247
Clinton,169.37716,-46.20121
Clive,176.92573,-39.58882
Clouston Park,175.08753,-41.12044
Cloustonville,175.12884,-41.03049
Clover Park,174.89309,-36.97953
Cloverlea,175.58943,-40.34456
Clutha,169.41466,-46.28562
Clyde,169.32612,-45.19094
Coal Creek,171.33521,-42.40218
Coastlands,176.98481,-37.94398
Cobden,171.20855,-42.43631
Cockle Bay,174.94336,-36.90033
Coldstream,172.66149,-43.29197
Company Bay,170.60834,-45.85527
Concord,170.45455,-45.90302
Cooks Gardens,175.05005,-39.93357
Coromandel,175.51085,-36.75809
Corstorphine East,170.47877,-45.90333
Corstorphine West,170.46618,-45.90015
Courtenay,172.66,-43.39238
Crawshaw,175.23478,-37.77207
Crinan,168.35488,-46.42115
Crofton Downs,174.75772,-41.25513
Cromwell,169.19731,-45.04412
Crown Hill,174.75697,-36.76414
Crum Park,174.66591,-36.9283
Culverden,172.83735,-42.7771
Cust,172.3894,-43.31042
Dacre,168.62098,-46.27833
Dairy Flat-Redvale,174.67491,-36.68238
Dallington,172.67539,-43.51324
Dannemora,174.91536,-36.93495
Dannevirke East,176.10614,-40.20609
Dannevirke West,176.10238,-40.19716
Darfield,172.10742,-43.48882
Dargaville,173.86527,-35.93919
Deans Bush,172.59581,-43.52367
Delaney,174.97841,-41.18547
Diamond Harbour,172.72638,-43.66078
Dingwall,174.86177,-36.96565
Dinsdale North,175.23908,-37.79236
Dinsdale South,175.24347,-37.8008
Discovery,174.88827,-41.11058
Dobson,171.33037,-42.44794
Dog Island,168.4095,-46.65079
Doncaster,176.29524,-37.71134
Donegal Park,174.90966,-36.97878
Douglas,174.61994,-39.24187
Drury,174.99005,-37.08812
Dunsandel,172.19065,-43.6597
Dunstan,169.37992,-45.05977
Duntroon,170.70246,-44.85471
Durham Green,174.65416,-36.83307
Durie Hill,175.06519,-39.93816
East Cape,178.19196,-37.88799
East Gore,168.96605,-46.08865
East Taieri,170.34694,-45.89303
Eastbourne,174.90959,-41.28409
Ebdentown,175.07271,-41.11854
Eden Road-Hill Top,174.87409,-37.20723
Eden Terrace,174.75611,-36.86579
Edendale Community,168.78819,-46.31229
Edgecumbe,176.82892,-37.97374
Edgeware,172.64705,-43.51435
