2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Linwood North,172.67222,-43.52803
Little Barrier Island,175.0829,-36.20124
Little River,172.72633,-43.78082
Little Wanganui,172.316,-41.17975
Loburn,172.52055,-43.23245
Lochain,176.77992,-39.62328
Long Bay,174.73061,-36.68093
Longburn,175.55338,-40.3865
Longlands South,176.84645,-39.66835
Lower Aramoho,175.05347,-39.90383
Lucken Point,174.63772,-36.81511
Lumsden Community,168.4444,-45.73869
Lyall Bay-Airport-Moa Point,174.80572,-41.32957
Lynfield North,174.72361,-36.91769
Lynfield South,174.71885,-36.92918
Lynmore,176.30305,-38.1524
Lynmouth,174.05095,-39.06644
Lynnmall,174.68547,-36.90886
Lyttelton,172.69732,-43.60162
Macandrew Bay,170.60346,-45.86968
Mackenzie,170.4469,-43.96514
Maeroa,175.25824,-37.77831
Maewa,175.57558,-40.19655
Maheno,170.74436,-45.11154
Mahia,177.87537,-39.11321
Mahoenui,174.75204,-38.58614
Mahora,176.84806,-39.62696
Mahurangi,174.74329,-36.46182
Maidstone,175.07205,-41.12965
Mairaki,172.36604,-43.28216
Mairangi Bay,174.74754,-36.74104
Mairehau,172.64027,-43.50204
Mairehau North,172.6434,-43.49158
Mairtown,174.32433,-35.70568
Maitai,173.30724,-41.2701
Maitlands,173.24224,-41.31
Makakaho,174.77557,-39.70736
Makara-Ohariu,174.71366,-41.25922
Makaraka,177.96525,-38.63407
Makarewa,168.36218,-46.35688
Makarewa North,168.3649,-46.32047
Maketu Community,176.46343,-37.75952
Malvern,171.71435,-43.15902
Mamaku,176.07551,-38.0946
Mana Island,174.78119,-41.08775
Mana-Camborne,174.8749,-41.09062
Manaia,174.12617,-39.55026
Manapouri,167.62779,-45.56394
Mandeville,172.51535,-43.39753
Mangakakahi,176.22602,-38.13276
Mangakaretu,175.85006,-38.20988
Mangakino,175.7742,-38.36927
Mangaoraka,174.14937,-39.05695
Mangaore-Manakau,175.36412,-40.62486
Mangapa-Matauri Bay,173.75058,-35.09984
Mangapapa,178.01764,-38.64424
Mangaroa,175.11763,-41.15757
Mangatainoka,175.89198,-40.48084
Mangatawhiri,175.15542,-37.16738
Mangatoki-Moeroa,174.38714,-39.43373
Mangaweka,175.79215,-39.81066
Mangawhai,174.57023,-36.13062
Mangawhai Heads,174.58572,-36.09466
Mangere Bridge,174.78718,-36.94817
Mangere Central,174.79726,-36.97246
Mangere East,174.83434,-36.96681
Mangere South,174.78129,-36.98807
Mangere Station,174.82799,-36.95036
Maniototo,169.96264,-45.12972
Manly,174.75941,-36.63042
Mansfield,172.64669,-43.39182
Manuka,174.99316,-41.19115
Manukau Central,174.84743,-37.00512
Manunui,175.32175,-38.89358
Manurewa Central,174.89029,-37.01888
Manurewa East,174.90611,-37.02585
Manutuke,177.89794,-38.68054
Maori Hill,170.5011,-45.85866
Maori Park,171.24222,-44.3878
Maoribank,175.11026,-41.10485
Mapua,173.08181,-41.24092
Mara,176.24977,-40.7076
Maraekakaho,176.56277,-39.66043
Maraenui,176.9037,-39.51579
Maraetotara,177.02581,-37.98201
Maramarua,175.21516,-37.27889
Mararoa River,167.88437,-45.28528
Marchwiel,171.22468,-44.37854
Marewa,176.90289,-39.50449
Marfell,174.04819,-39.07538
Marlborough Sounds Terrestrial,173.80761,-41.20853
Marokopa,174.91466,-38.33579
Marotiri,175.74787,-38.55839
Marsden Point-Ruakaka,174.46161,-35.86427
Marsden-Hohonu,171.29606,-42.60807
Marsland Hill,174.07907,-39.06157
Martinborough,175.45862,-41.21981
Marton,175.38272,-40.07869
Maruia,172.18339,-42.33857
Marybank-Gordon Park,175.06527,-39.93814
Mascot,174.80678,-36.9713
Massey Park,174.95418,-37.0627
Massey University,175.60961,-40.39045
Massey West,174.59501,-36.82978
Masterton Central,175.65921,-40.95024
Masterton East,175.66415,-40.95737
Masterton Railway,175.64588,-40.94374
Masterton West,175.64803,-40.94862
Matahina-Minginui,176.7777,-38.47209
Matakana,174.71365,-36.35164
Matakana Island,176.06005,-37.56663
Matamata North,175.77973,-37.80876
Matamata South,175.77051,-37.81795
Matangi,175.37888,-37.79728
Matapihi,176.19779,-37.69319
Matarawa,175.85345,-38.22438
Matata,176.75612,-37.89
Mataura,168.8733,-46.18742
Matheson Bay,174.79732,-36.29882
Matipo,174.64526,-36.83541
Matokitoki,178.0141,-38.62453
Matua,176.12786,-37.6667
Matukituki,168.95484,-44.53935
Maungakotukutuku,175.04917,-40.94843
Maunganamu,176.11929,-38.72402
Maungaraki,174.87609,-41.2004
Maungaru,173.96463,-35.8735
Maungataniwha,176.96286,-38.86515
Maungatapere,174.21908,-35.76015
Maungatapu,176.17895,-37.71845
Maungaturoto,174.35845,-36.10674
Maungawhau,174.75153,-36.89052
Maunu,174.28625,-35.74288
Maupuia,174.82412,-41.29682
Mawheraiti,171.768,-42.20959
Maxwell,174.98903,-39.63169
Mayfair,176.86097,-39.63687
Mayfield,173.95752,-41.50205
Mayor Island,176.25514,-37.28628
McLaren Park,174.61943,-36.8984
Mclean Park,176.91559,-39.50625
Mcleans Island,172.48171,-43.47043
Mcleod,174.64851,-36.87666
Meadowbank North,174.82894,-36.87112
Meadowbank South,174.83021,-36.88085
Meadowland,174.93429,-36.91348
Meeanee,176.88957,-39.54376
Melling,174.89833,-41.20878
Mellons Bay,174.93259,-36.89044
Melrose-Houghton Bay-Southgate,174.78617,-41.33568
Melville,175.27673,-37.81677
Meremere,175.0698,-37.31996
Merivale,172.61954,-43.51699
Merrilands,174.10205,-39.06458
Merrin,172.55986,-43.51065
Methven,171.6422,-43.6327
Middlemarch,170.12263,-45.50577
Middlemore,174.84306,-36.96041
Middleton,172.58602,-43.54726
Midhirst,174.26651,-39.28899
Milford,168.00273,-44.63193
Mill Road,174.92524,-37.00739
Mill Road-Woodend,168.39827,-46.44076
Millhouse,174.91956,-36.92004
Milson,175.61172,-40.32288
Milton,169.96415,-46.11705
Minden,175.99389,-37.72251
Miramar,174.82042,-41.31454
Miramar North,174.82496,-41.30525
Miramar South,174.81454,-41.32063
Miramar West,174.8153,-41.31166
Mission Bay,174.8344,-36.85789
Mission Heights,174.93279,-36.95827
Mitchelltown,174.75541,-41.29672
Moanataiari,175.53831,-37.12294
Moawhango,175.91195,-39.48632
Moera,174.90363,-41.22793
Moerewa,174.01227,-35.38888
Mokauiti,175.11581,-38.56265
Mokihinui,172.15453,-41.55191
Mokohinau Island,175.12966,-35.92304
Mona Vale,172.60081,-43.52704
Monarch Park,174.73037,-36.79814
Moncks Bay,172.74073,-43.57516
Moonshine Valley,175.00824,-41.11013
Morningside,174.32109,-35.73557
Mornington,170.48096,-45.88638
Morrinsville East,175.53574,-37.64888
Morrinsville West,175.5174,-37.65781
Mosgiel East,170.35993,-45.86745
Mosgiel South,170.34914,-45.88036
Mossburn,168.23206,-45.6731
Mosston,175.0004,-39.93403
Motiti Island,176.4208,-37.62544
Motueka East,173.02077,-41.10689
Motueka Outer,172.8682,-41.18034
Motueka West,172.98975,-41.12254
Motuoapa,175.87333,-38.92746
Motuopae Island,176.15237,-37.685
Moturoa,174.02909,-39.0668
Motutangi-Kareponia,173.2017,-34.97075
Mount Bryan,174.08848,-39.05472
Moutoa,175.3175,-40.46349
Moutohora Island,176.97128,-37.85475
Mt Albert Central,174.72182,-36.88118
Mt Cook,170.08496,-43.73651
Mt Cook-Wallace Street,174.77408,-41.3032
Mt Eden East,174.76047,-36.88517
Mt Eden North,174.76118,-36.87034
Mt Eden South,174.75175,-36.89583
Mt Hobson,174.78453,-36.87816
Mt Holdsworth,175.44709,-40.91584
Mt Maunganui North,176.18259,-37.63832
Mt Pleasant,172.72178,-43.57186
Mt Somers,171.23063,-43.51063
Mt St John,174.78276,-36.88509
Mt Victoria,174.80129,-36.82633
Mt Victoria West,174.78775,-41.2981
Mt Wellington Domain,174.84948,-36.88886
Mt Wellington North,174.84029,-36.9017
Mt Wellington South,174.84254,-36.92295
Mt Wellington West,174.83096,-36.89358
Murchison,172.32174,-41.80374
Muriwai Beach,174.42924,-36.82522
Muriwai Valley,174.46001,-36.82945
Murrays Bay,174.74593,-36.73145
Murupara,176.70628,-38.45358
Murvale,174.91319,-36.88978
Musselburgh,170.52571,-45.90219
Myross Bush,168.42536,-46.3759
Naenae North,174.96864,-41.20402
Naenae South,174.95244,-41.20979
Narrow Neck,174.79664,-36.81603
Naseby,170.14398,-45.02538
National Park,175.39695,-39.17347
Nawton,175.23985,-37.78379
Nayland,173.23417,-41.30385
Naylor,175.30043,-37.80101
Nelson Airport,173.23043,-41.29536
Nelson Creek-Ngahere,171.59371,-42.46447
Nelson Park,176.91139,-39.49598
Nenthorn,170.46679,-45.49148
Netherby,171.76581,-43.90025
New Brighton,172.7302,-43.51587
New Lynn North,174.67521,-36.90327
New Lynn South,174.67168,-36.90794
New Plymouth Central,174.07535,-39.05698
New Windsor,174.71375,-36.90564
Newfield-Rockdale,168.39234,-46.42053
Newlands East,174.83755,-41.22398
Newlands North,174.81871,-41.225
Newlands South,174.82297,-41.23157
Newmarket,174.77548,-36.86622
Newstead,175.31781,-37.77122
Newton,174.75829,-36.86039
Newtown East,174.78435,-41.31888
Newtown West,174.77611,-41.31292
Ngahinapouri,175.22786,-37.87528
Ngaio South,174.7762,-41.25315
Ngakuru,176.19948,-38.3266
Ngamatea,176.19627,-39.35193
Ngapuhi-Kaikou,173.84685,-35.4904
Ngapuke,175.40241,-38.8083
Ngapuna,176.27088,-38.16588
Ngaruawahia,175.15439,-37.67443
Ngatea,175.49249,-37.27521
Ngaumutawa,175.63623,-40.94118
Ngauranga East,174.81693,-41.24061
Ngauranga West,174.80607,-41.24174
Ngawhatu,173.2232,-41.33531
Ngongotaha North,176.20501,-38.07114
Ngongotaha South,176.21276,-38.09948
Ngunguru,174.51353,-35.61707
Nightcaps,168.02716,-45.96682
Nireaha-Tiraumea,175.80406,-40.65381
Normanby,174.27298,-39.54089
Normandale,174.89215,-41.19858
Norsewood-Herbertville,176.24065,-40.26216
North Beach,172.71438,-43.49061
North Cape,172.88539,-34.55227
North Dunedin,170.51794,-45.85905
North East Valley,170.53008,-45.8486
North Gore,168.94216,-46.09277
North Harbour East,174.70711,-36.74482
North Harbour West,174.68815,-36.74542
Northcote,172.61173,-43.4883
Northcote South,174.74294,-36.81357
Northcross,174.71994,-36.71885
Northland,174.75922,-41.28139
Northland North,174.76214,-41.27524
Nuhaka,177.7426,-39.03459
Nukuhau,176.06481,-38.67953
Oaklands East,172.56173,-43.57611
Oaklands West,172.54935,-43.56932
Oaktree,174.72999,-36.72059
Oakura,173.95183,-39.11779
Oamaru Central,170.96099,-45.09696
Oamaru North,170.98344,-45.07207
Oamaru South,170.95899,-45.10901
Ocean View,174.73988,-36.79805
Ohaeawai,173.86619,-35.34822
Ohai,167.96062,-45.93215
Ohakea,175.37826,-40.20339
Ohakune,175.40575,-39.41185
Ohangai,174.44896,-39.53843
Ohauiti-Ngapeke,176.191,-37.75376
Ohaupo,175.30748,-37.91679
Ohawe Beach,174.28162,-39.61014
Ohinemuri,175.78691,-37.38016
Ohinemutu,176.24658,-38.12854
Ohoka,172.58435,-43.38541
Ohope,177.08744,-37.97724
Ohura,174.97791,-38.84266
Okaiawa,174.2017,-39.52632
Okaihau,173.76686,-35.33257
Okato,173.87602,-39.19146
Okauia,175.8029,-37.7834
Okoki-Okau,174.58224,-38.941
Okuku,172.31093,-43.13705
Omaha,174.78358,-36.34627
Omahu,176.77116,-39.57914
Omaka,173.91542,-41.53306
Omanu,176.19832,-37.66353
Omapere and Opononi,173.39027,-35.52105
Omarama,169.94219,-44.48261
Omata,173.98528,-39.10628
Omokoroa,176.02639,-37.65025
Omori,175.75568,-38.9064
One Tree Hill Central,174.78202,-36.89862
One Tree Hill East,174.79753,-36.90007
Onehunga North East,174.78948,-36.90962
Onehunga North West,174.7786,-36.91288
Onehunga South East,174.78728,-36.92368
Onehunga South West,174.77506,-36.92202
Onekawa Central,176.8889,-39.50599
Onekawa South,176.89324,-39.51371
Onekawa West,176.88231,-39.4951
Onepoto,174.85285,-41.10399
Onerahi,174.36327,-35.76641
Onewhero,174.884,-37.41977
Opaheke,174.94798,-37.07685
Opaki-Fernridge,175.64492,-40.92084
Opanuku,174.57479,-36.90555
Opawa,172.66337,-43.55654
Opiki,175.47958,-40.48505
Opoho,170.54106,-45.85564
Oponae,177.38217,-38.20377
Opotiki,177.28064,-38.01224
Opouteke-Tanekaha,174.04095,-35.65157
Opua East,174.11547,-35.31431
Opua West,174.10533,-35.31242
Opuawhanga,174.96522,-37.27894
Opunake,173.85887,-39.45131
Orakei North,174.81917,-36.85494
Orakei South,174.80775,-36.86944
Orana Park,170.97517,-45.08525
Oranga,174.79889,-36.91145
Orari,171.21662,-44.09699
Oratia,174.62916,-36.91352
Oratia West,174.62038,-36.90816
Oreti Beach,168.26614,-46.41694
Orewa,174.68711,-36.58632
Orewa West,174.67609,-36.57577
Oriental Bay,174.79456,-41.29139
Orini,176.95503,-37.94282
Ormiston,174.92749,-36.97393
Oroua Bridge,175.60749,-40.21314
Oroua Downs-Waitohi,175.38672,-40.2998
Orowaiti,171.62229,-41.7501
Oruanui,176.0957,-38.58446
Otago University,170.51793,-45.86626
Otahuhu East,174.8577,-36.93627
Otahuhu North,174.84817,-36.93869
Otahuhu West,174.83932,-36.94708
Otaihanga,175.02574,-40.8834
Otaika-Portland,174.28914,-35.78563
Otakaro Park,168.35353,-46.41104
Otaki,175.14125,-40.75646
Otaki Forks,175.24732,-40.83738
Otakiri,176.76346,-37.95475
Otamatea,175.02394,-39.9086
Otane,176.6269,-39.89671
Otangarei,174.31798,-35.69365
Otangiwai-Heao,175.06795,-38.81297
Otara East,174.88492,-36.95579
Otara North,174.87563,-36.95542
Otara South,174.87753,-36.97009
Otara West,174.86589,-36.95415
Otatara,168.29573,-46.43186
Otaua,174.7728,-37.29391
Otautau,167.99685,-46.14469
Otematata,170.21224,-44.61221
Otimai,174.60646,-36.93125
Otipua Creek-Washdyke Flat,171.20567,-44.36792
Otira,171.605,-42.82091
Otorohanga,175.21402,-38.18468
Otorohanga Rural East,175.46099,-38.26751
Otorohanga Rural West,175.0197,-38.09385
Otumoetai North,176.14906,-37.66946
Otumoetai South,176.14441,-37.6769
Outer Kaiti,178.05652,-38.66941
Outer Wakatipu,168.71178,-44.82412
Outram,170.23021,-45.86063
Owahanga,176.26415,-40.55292
Owairaka East,174.71862,-36.8914
Owairaka West,174.7118,-36.8956
Owaka,169.65975,-46.45308
Owhango,175.37806,-38.99849
Owhata East,176.32902,-38.13177
Owhata South,176.29264,-38.14292
Owhata West,176.29984,-38.12275
Oxford,172.18541,-43.29451
Pacific View,176.25384,-37.68799
Paekakariki,174.96921,-40.97159
Paekakariki Hill,174.92567,-41.03854
Paengaroa,176.40525,-37.81818
Paerata-Cape Hill,174.91584,-37.18173
Paeroa,175.66872,-37.36962
Pahiatua,175.83817,-40.45541
Pahurehure,174.93272,-37.06863
Paihia,174.08988,-35.29144
Pakipaki,176.81437,-39.68302
Pakowhai,176.87605,-39.58036
Pakuranga Central,174.87842,-36.9155
Pakuranga East,174.88826,-36.91506
Pakuranga North,174.88753,-36.89784
Palm Beach,176.27177,-37.69429
Palm Heights,174.61074,-36.89383
Palm Springs,176.35583,-37.73067
Palmerston,170.709,-45.48451
Palmerston North Central,175.60984,-40.35462
Palmerston North Hospital,175.61174,-40.34157
Panmure Basin,174.85279,-36.90423
Papaeoia,175.62312,-40.34877
Papakowhai North,174.86349,-41.11593
Papakowhai South,174.85693,-41.12826
Papakura Central,174.94478,-37.06724
Papakura East,174.96555,-37.05958
Papakura North,174.93741,-37.05927
Papakura North East,174.95081,-37.05517
Papakura South,174.96239,-37.07233
Papamoa Beach East,176.29929,-37.70389
Papanui,172.61119,-43.49864
Paparangi,174.82195,-41.21752
Paparangi West,174.81551,-41.21543
Paparata,175.10581,-37.1683
Paparua,172.46231,-43.52741
Papatawa,175.94572,-40.30987
Papatoetoe Central,174.86124,-36.9777
Papatoetoe East,174.87308,-36.97355
Papatoetoe North,174.85107,-36.97169
Papatoetoe West,174.84754,-36.98703
Parahaki,174.34292,-35.72768
Paraite,174.16268,-39.0364
Parakai Rural,174.4112,-36.67268
Parakai Urban,174.43464,-36.65643
Paraonui,175.85009,-38.21273
Paraparaumu Beach North,174.99878,-40.88084
Paraparaumu Beach South,174.98829,-40.89302
Paraparaumu Central,175.00615,-40.90696
Parawai,175.55907,-37.15543
Paremata-Postgate,174.87596,-41.10823
Paremoremo East,174.66096,-36.7466
Paremoremo West,174.61793,-36.75632
Pareora,171.21291,-44.48644
Parkdale,175.86469,-38.2068
Parklands,172.69883,-43.47767
Parkside,171.24914,-44.40425
Parkvale,176.85865,-39.64755
Parkway,174.93454,-41.24827
Parnassus,173.25104,-42.73079
Parnell East,174.78823,-36.85982
Parnell West,174.78002,-36.85569
Parrs Park,174.63173,-36.90491
Parrs Park West,174.62724,-36.89965
Parua Bay,174.44312,-35.75781
Pataua-Whareora,174.45137,-35.71023
Patea,174.47041,-39.75419
Patumahoe,174.82763,-37.20232
Patutahi,177.89473,-38.6309
Pauanui Beach,175.85884,-37.02791
Pauatahanui,174.94507,-41.09762
Peachgrove,175.29613,-37.78331
Peacocke,175.31216,-37.82333
Pegasus,172.69588,-43.31531
Peka Peka,175.06673,-40.84061
Pembroke,174.18481,-39.34055
Pencarrow,174.96969,-41.3173
Penrose,174.81581,-36.91897
Petone Central,174.87465,-41.22248
Phillipstown,172.6611,-43.53663
Picton,174.00658,-41.29127
Pigeon Mountain North,174.90435,-36.8911
Pigeon Mountain South,174.89649,-36.90007
Pine Hill,170.53447,-45.83211
Pinehaven,175.01731,-41.16764
Pinehill,174.72364,-36.73135
Pines-Kairaki Beach,172.70575,-43.38179
Piopio,175.01378,-38.46575
Pirimai,176.88119,-39.51586
Pirongia,175.2418,-37.99835
Plains Railway,171.6996,-43.91399
Playford Park,175.29326,-40.62986
Pleasant Point,171.13148,-44.25705
Plimmerton,174.86378,-41.06988
Poets Block,175.04565,-41.12369
Poets Corner,176.28638,-38.13883
Pohangina,175.9125,-40.07207
Pohonui-Porewa,175.71491,-39.80793
Poike,176.15071,-37.73211
Point Chevalier East,174.71021,-36.8631
Point Chevalier South,174.71309,-36.87439
Point Chevalier West,174.70257,-36.8663
Point Elizabeth,171.22841,-42.40918
Point England,174.8653,-36.88388
Point View,174.9257,-36.94302
Point Wells,174.75644,-36.32387
Pokeno,174.99928,-37.24354
Pokere-Waihaha,174.13977,-35.41312
Pokuru,175.24854,-38.05018
Pomare,176.22176,-38.15436
Pongakawa,176.49727,-37.89348
Ponsonby East,174.74168,-36.85147
Ponsonby West,174.73381,-36.85014
Poraiti,176.84331,-39.49934
Porangahau,176.63974,-40.29896
Porirua Central,174.82501,-41.1472
Porirua East,174.85364,-41.14202
Poroporo,176.96569,-37.98231
Porritt,175.28843,-37.75757
Port Chalmers,170.62156,-45.81702
Port Levy,172.81249,-43.66187
Port Nelson,173.2785,-41.26172
Port-Limeburners,174.33089,-35.74925
Poukawa,176.71388,-39.75897
Prebbleton,172.51151,-43.58449
Prestons,172.66985,-43.47158
Puhinui North,174.86383,-36.98369
Puhinui South,174.87009,-36.98747
Pukehangi North,176.20287,-38.13394
Pukehangi South,176.20565,-38.14066
Pukekohe North,174.90779,-37.19146
Pukekohe West,174.89189,-37.21091
Pukeoware,174.761,-37.26123
Pukerimu,175.43433,-37.91261
Pukerua Bay,174.8738,-41.04401
Pukete,175.24439,-37.74159
Pukete West,175.23527,-37.73943
Puketitiri,176.44004,-39.27019
Pukeuri,171.02543,-45.04786
Punaruku-Kiripaka,174.36209,-35.52233
Putaruru,175.77934,-38.05172
Putiki,175.05171,-39.94759
Pyes Pa,176.11982,-37.75002
Quail Island,172.69086,-43.62833
Queenstown Bay,168.65285,-45.0284
Queenstown Hill,168.6858,-45.02594
Queenwood,175.26736,-37.74828
Rabbit Island,173.14515,-41.27122
Raetihi,175.2761,-39.42927
Raglan,174.86366,-37.80845
Rahotu,173.8025,-39.33542
Rakaia,172.01695,-43.7502
Rakiraki,175.54673,-40.22972
Rakitu Island,175.49779,-36.12641
Randwick Park,174.9159,-37.02192
Ranfurly,170.1064,-45.12659
Rangatira,176.065,-38.66444
Rangatira Park,176.07798,-38.67103
Rangiora Central,172.59193,-43.31107
Rangiora East,172.60782,-43.3091
Rangiora North,172.59606,-43.2987
Rangiora West,172.58422,-43.31133
Rangipo,175.81062,-39.13037
Rangitaiki,176.45464,-38.75893
Rangiuru,176.33243,-37.85773
Rangoon Heights,174.80131,-41.24492
Ranui Domain,174.60495,-36.86525
Ranui Heights,174.85009,-41.15161
Ranui South,174.59575,-36.87105
Ranzau,173.13864,-41.33352
Rapaki Track,172.6746,-43.57751
Rapaura,173.8606,-41.48232
Raroa,174.79739,-41.22777
Ratana Community,175.17591,-40.03924
Raumanga East,174.30908,-35.74182
Raumanga West,174.30018,-35.75164
Raumati Beach,174.98689,-40.91853
Raumati South,174.98329,-40.94126
Raupunga,177.1031,-39.05779
Raureka,176.82725,-39.64306
Raurimu,175.35532,-39.12088
Ravensbourne,170.55019,-45.86206
Ravenswood,172.6642,-43.30982
Rawene,173.50913,-35.40497
Rawhiti,172.71682,-43.50113
Red Beach East,174.70503,-36.60604
Red Beach West,174.69172,-36.60717
Red Hill,174.97544,-37.06751
Redoubt,174.93397,-37.27745
Redoubt East,174.943,-36.99212
Redoubt North,174.89266,-36.98597
Redoubt South,174.90424,-36.99662
Redruth,171.25366,-44.41957
Redwood North,172.62398,-43.47115
Redwood South,172.62246,-43.48824
Redwoodtown,173.95336,-41.52877
Reefton,171.86103,-42.1155
Regent,174.32194,-35.71583
Rehia-Oneriri,174.27142,-36.11961
Remuera South,174.79669,-36.88454
Remuera West,174.78554,-36.86924
Renwick,173.8273,-41.50928
Reporoa,176.29575,-38.42032
Resolution,174.91079,-41.1276
Rewarewa,174.68286,-36.92032
Rewiti,174.44983,-36.77734
Riccarton,172.60416,-43.53313
Riccarton South,172.60776,-43.54037
Riccarton West,172.59139,-43.53416
Richmond,168.37018,-46.41013
Richmond East,173.19704,-41.34082
Richmond Heights,176.08856,-38.71947
Richmond Hill,173.22294,-41.38904
Richmond North,172.65854,-43.51308
Richmond South,172.65637,-43.5214
Richmond West,173.18165,-41.34732
Riverdale,177.99849,-38.64168
Riverhead,174.5576,-36.71761
Riverhead Urban,174.59458,-36.7546
Riverlands,173.98563,-41.53733
Riverlea,175.3249,-37.80515
Riversdale Community,168.74282,-45.9013
Riverside,174.33007,-35.72188
Riverstone Terraces,175.03822,-41.11208
Riverton East,168.02045,-46.34811
Riverton West,168.0149,-46.36671
Riwaka,172.99575,-41.08351
Roberton,174.69962,-36.89334
Rolleston Central,172.3757,-43.6005
Rolleston North East,172.38803,-43.59343
Rolleston North West,172.36341,-43.60086
Rolleston South East,172.3984,-43.60911
Rolleston South West,172.37388,-43.60961
Rongomai,174.89442,-36.9658
Rongotea,175.42473,-40.29244
Rosebank,174.67573,-36.87924
Rosedale,168.37343,-46.38955
Rosehill,174.93747,-37.07936
Roseneath,174.80082,-41.29233
Roslyn,175.63094,-40.33652
Roslyn North,170.49522,-45.86504
Roslyn South,170.48557,-45.87043
Ross,170.80293,-42.89367
Rothesay Bay,174.74256,-36.72417
Rotokauri,175.2258,-37.76531
Rotoma,176.6918,-38.11154
Rotongata,175.54848,-38.09899
Rotoorangi,175.45024,-37.99786
Rototuna,175.26788,-37.73669
Rotowaro,175.07857,-37.58765
Rowandale,174.87216,-37.02857
Roxburgh,169.31475,-45.54608
Royal Heights,174.62893,-36.833
Royal Oak,174.76735,-36.90535
Royal Road West,174.61256,-36.83429
Ruakituri-Morere,177.40462,-38.81904
Ruatoria,178.33136,-37.88886
Ruawai,174.02519,-36.13122
Runanga-Rapahoe,171.25724,-42.39767
Runciman,174.95069,-37.13226
Russell,174.12761,-35.25909
Russley,172.56147,-43.49452
Rutland,172.62725,-43.50451
Saddle Hill,170.39139,-45.92213
Sandringham East,174.73826,-36.89316
Sandringham North,174.73925,-36.88136
Sandringham West,174.7322,-36.88985
Sandymount,170.63122,-45.88186
Sanson,175.42271,-40.21873
Sawyers Arms,172.58793,-43.46444
Sawyers Bay,170.60134,-45.8169
Saxton,173.21582,-41.31924
Saxton Island,173.19541,-41.30454
Seacliffe,174.78863,-36.80588
Seatoun,174.82969,-41.32904
Seatoun Tunnel West,174.82284,-41.32307
Seaview,171.25012,-44.39511
Seddon,174.07101,-41.67461
Sefton,172.69114,-43.25176
Selwyn Heights,176.21666,-38.11866
Selwyn-Rakaia,172.15731,-43.72804
Severn,172.94409,-42.08807
Shannon,175.41126,-40.54859
Shelly Park,174.94712,-36.90925
Sherbourne,174.75927,-36.87609
Sherenden-Puketapu,176.65195,-39.49445
Sherwood Rise,174.36776,-35.75074
Shirley East,172.66259,-43.50115
Shirley West,172.6481,-43.4997
Silverdale,175.32826,-37.79286
Silverdale Central,174.67067,-36.61629
Silverdale North,174.66016,-36.58861
Silverdale South,174.69809,-36.65047
Silverstream,172.63725,-43.37879
Snells Beach,174.71616,-36.41231
Sockburn,172.558,-43.53468
Solway North,175.62988,-40.95785
Solway South,175.6355,-40.96614
Somerfield,172.62949,-43.55925
South Beach-Camerons,171.16478,-42.5259
South Brighton,172.74197,-43.53968
South Dunedin,170.50028,-45.89669
South Gore,168.9429,-46.11006
South Head,174.30265,-36.58199
South Waiuku,174.73973,-37.25997
Southbridge,172.25145,-43.81069
Southbrook,172.59714,-43.32892
Spotswood,174.03562,-39.07287
Spreydon,172.62027,-43.55161
Spriggens Park,175.04376,-39.94
Spring Creek-Grovetown,173.99392,-41.49471
Springdale,175.57453,-37.507
Springfield,176.23473,-38.1636
Springlands,173.93713,-41.5063
Springleigh,174.70791,-36.88556
Springs Flat,174.29727,-35.64468
Springston,172.43152,-43.67675
Springvale East,175.02601,-39.92301
Springvale West,175.01992,-39.92788
St Albans East,172.63745,-43.51369
St Albans West,172.62868,-43.51531
St Andrews,171.18742,-44.52955
St Clair,170.47751,-45.91118
St Heliers,174.86048,-36.85288
St Johns,174.84788,-36.87612
St Johns Hill,175.03729,-39.91508
St Kilda Central,170.50464,-45.90548
St Kilda East,170.51357,-45.90328
St Kilda West,170.49477,-45.9076
St Leonards,176.83431,-39.63346
St Leonards-Blanket Bay,170.57902,-45.83629
St Lukes,174.73162,-36.87532
St Lukes North,174.72868,-36.87045
St Martins,172.65307,-43.56249
St Marys,174.74503,-36.84286
Stanley Bay,174.7845,-36.8264
Stanley Park,175.86353,-38.22083
Stanmore Bay East,174.74175,-36.62931
Stanmore Bay West,174.72781,-36.62369
Starling Park,174.60628,-36.85822
Stewart Island,167.85899,-46.98519
Stillwater,174.71617,-36.6382
Stirling,169.78134,-46.24737
Stonefields,174.8397,-36.88835
Stoney Creek,175.67662,-40.29721
Stratford East,174.29202,-39.33494
Stratford West,174.27791,-39.34122
Strath Taieri,170.10397,-45.62482
Strathern,168.36758,-46.42984
Strathmore,175.86871,-38.23412
Strathmore Park,174.82051,-41.33167
Strowan,172.60929,-43.50809
Struan Park,174.08039,-39.07729
Stuart St-Frederick St,170.50683,-45.87075
Sturges North,174.60688,-36.87706
Styx,172.68408,-43.43262
Styx Mill,172.61196,-43.47494
Sulphur Point,176.16888,-37.66776
Sumner,172.77192,-43.58579
Sunnybrae,174.74027,-36.78871
Sunnybrook,176.21264,-38.14904
Sunnyhills,174.87617,-36.90591
Sunnynook,174.74079,-36.75406
Sunnyvale,174.64256,-36.89956
Sunshine Bay,168.62986,-45.03941
Sunshine-Hospital Hill,175.26282,-38.88954
Surrey Crescent,174.72922,-36.86472
Swanson,174.58049,-36.86414
Swanson South,174.56848,-36.8791
